actual_temp,feels_like_temp,weather,time
1.19,-3.85,light snow,2021-12-04 00:00:00
1.45,-3.73,light snow,2021-12-04 01:00:00
1.54,-3.18,light rain,2021-12-04 02:00:00
1.57,-2.91,light snow,2021-12-04 03:00:00
1.64,-2.28,broken clouds,2021-12-04 04:00:00
1.71,-2.2,light intensity drizzle,2021-12-04 05:00:00
1.64,-1.98,light snow,2021-12-04 06:00:00
1.56,-2.66,light snow,2021-12-04 07:00:00
1.55,-2.09,broken clouds,2021-12-04 08:00:00
1.68,-2.23,broken clouds,2021-12-04 09:00:00
2.14,-1.03,broken clouds,2021-12-04 10:00:00
2.21,-1.86,broken clouds,2021-12-04 11:00:00
2.33,-1.71,broken clouds,2021-12-04 12:00:00
2.62,-0.46,broken clouds,2021-12-04 13:00:00
2.49,-0.61,overcast clouds,2021-12-04 14:00:00
2.3,-1.18,overcast clouds,2021-12-04 15:00:00
2.17,-1.63,overcast clouds,2021-12-04 16:00:00
1.87,-1.7,overcast clouds,2021-12-04 17:00:00
1.76,-2.67,broken clouds,2021-12-04 18:00:00
1.84,-2.04,broken clouds,2021-12-04 19:00:00
1.76,-2.9,broken clouds,2021-12-04 20:00:00
1.42,-3.33,broken clouds,2021-12-04 21:00:00
1.52,-2.43,broken clouds,2021-12-04 22:00:00
1.33,-2.66,light snow,2021-12-04 23:00:00
