# Test: Daily_Activity - Fitzpatrick: Type II (White) - BMI: Normal (18.5 to 25)- Duration: 5 minutes - Time: 2020-09-12-07-28-51
# MAE: 1.87 - Noise: 2.73 - ProbabilityOfError: 1.00 - Availability: 100.0%
# mbs/icefish/icefish:9/PXE1.200905.002.DBW3.002/000098:userdebug/dev-keys
seconds, wear, bluetooth, confidence
0, 59, 66, 2
1, 59, 67, 2
2, 59, 68, 2
3, 60, 68, 2
4, 63, 67, 3
5, 64, 67, 3
6, 65, 68, 3
7, 67, 68, 3
8, 69, 68, 3
9, 70, 69, 3
10, 72, 70, 3
11, 73, 72, 3
12, 74, 73, 3
13, 72, 73, 3
14, 70, 73, 3
15, 71, 73, 3
16, 71, 72, 3
17, 73, 71, 3
18, 74, 70, 3
19, 74, 69, 3
20, 74, 69, 3
21, 73, 68, 3
22, 74, 67, 2
23, 73, 66, 2
24, 71, 66, 2
25, 71, 65, 2
26, 71, 64, 2
27, 71, 63, 2
28, 71, 63, 2
29, 70, 62, 2
30, 69, 62, 2
31, 69, 62, 2
32, 69, 62, 2
33, 68, 62, 2
34, 67, 62, 2
35, 68, 62, 2
36, 68, 64, 2
37, 68, 64, 2
38, 69, 64, 2
39, 69, 65, 2
40, 69, 65, 2
41, 69, 67, 2
42, 68, 67, 2
43, 68, 67, 2
44, 69, 69, 2
45, 69, 69, 2
46, 69, 69, 2
47, 69, 68, 2
48, 68, 68, 2
49, 67, 68, 2
50, 66, 68, 2
51, 66, 68, 2
52, 67, 68, 2
53, 68, 68, 3
54, 68, 68, 3
55, 68, 68, 3
56, 69, 69, 3
57, 70, 69, 3
58, 70, 69, 3
59, 71, 70, 3
60, 71, 71, 2
61, 72, 71, 2
62, 73, 72, 2
63, 72, 73, 2
64, 71, 73, 2
65, 70, 73, 2
66, 69, 72, 3
67, 69, 72, 3
68, 69, 71, 3
69, 69, 71, 3
70, 68, 70, 3
71, 68, 70, 3
72, 69, 70, 3
73, 69, 70, 3
74, 68, 69, 3
75, 68, 69, 2
76, 67, 68, 2
77, 67, 67, 2
78, 67, 66, 2
79, 66, 66, 2
80, 65, 66, 2
81, 64, 66, 3
82, 64, 65, 3
83, 64, 65, 3
84, 64, 66, 3
85, 65, 66, 3
86, 66, 66, 3
87, 66, 66, 3
88, 65, 66, 3
89, 66, 66, 3
90, 66, 65, 3
91, 66, 65, 3
92, 66, 65, 3
93, 66, 65, 3
94, 67, 65, 3
95, 66, 66, 3
96, 66, 67, 3
97, 66, 67, 3
98, 67, 67, 3
99, 67, 67, 3
100, 67, 67, 3
101, 67, 67, 3
102, 67, 67, 3
103, 67, 67, 3
104, 67, 68, 3
105, 68, 68, 3
106, 69, 68, 3
107, 69, 69, 3
108, 68, 69, 3
109, 68, 69, 3
110, 68, 69, 3
111, 68, 69, 3
112, 68, 68, 3
113, 67, 67, 3
114, 66, 67, 3
115, 65, 67, 3
116, 65, 66, 3
117, 64, 66, 3
118, 64, 66, 3
119, 64, 66, 3
120, 65, 67, 3
121, 65, 67, 3
122, 65, 68, 3
123, 65, 68, 3
124, 66, 68, 3
125, 65, 68, 3
126, 64, 67, 3
127, 65, 67, 3
128, 65, 66, 3
129, 65, 66, 3
130, 66, 66, 3
131, 66, 66, 3
132, 66, 66, 3
133, 66, 66, 3
134, 66, 66, 3
135, 66, 66, 3
136, 65, 67, 3
137, 66, 67, 3
138, 66, 67, 3
139, 66, 67, 3
140, 65, 66, 3
141, 66, 66, 3
142, 66, 66, 3
143, 66, 66, 2
144, 66, 66, 2
145, 66, 66, 2
146, 66, 66, 2
147, 64, 66, 2
148, 64, 67, 2
149, 65, 67, 2
150, 64, 67, 2
151, 66, 67, 2
152, 66, 68, 2
153, 66, 68, 2
154, 67, 68, 2
155, 67, 67, 3
156, 67, 67, 3
157, 66, 67, 3
158, 67, 67, 3
159, 68, 67, 3
160, 68, 68, 3
161, 68, 68, 3
162, 67, 68, 3
163, 68, 68, 2
164, 67, 68, 2
165, 66, 68, 2
166, 66, 68, 2
167, 66, 67, 2
168, 66, 67, 3
169, 66, 67, 3
170, 67, 67, 3
171, 68, 68, 3
172, 68, 68, 3
173, 68, 68, 3
174, 68, 68, 3
175, 68, 68, 3
176, 68, 68, 3
177, 67, 68, 3
178, 67, 68, 3
179, 68, 68, 3
