# Test: Outdoor_Walking - Fitzpatrick: Type II (White) - BMI: Normal (18.5 to 25)- Duration: 15 minutes - Time: 2020-09-12-07-49-28
# MAE: 0.91 - Noise: 1.21 - ProbabilityOfError: 1.00 - Availability: 100.0%
# mbs/icefish/icefish:9/PXE1.200905.002.DBW3.002/000098:userdebug/dev-keys
seconds, wear, bluetooth, confidence
0, 71, 70, 2
1, 71, 71, 3
2, 71, 71, 3
3, 71, 72, 3
4, 72, 73, 3
5, 72, 74, 3
6, 72, 74, 3
7, 74, 74, 3
8, 74, 74, 3
9, 75, 74, 3
10, 74, 74, 3
11, 73, 74, 3
12, 73, 74, 3
13, 74, 74, 3
14, 75, 74, 3
15, 75, 74, 3
16, 76, 74, 3
17, 76, 75, 3
18, 75, 74, 3
19, 74, 74, 3
20, 74, 74, 3
21, 73, 73, 3
22, 72, 72, 3
23, 71, 71, 3
24, 71, 71, 3
25, 71, 71, 3
26, 71, 71, 3
27, 72, 71, 3
28, 72, 71, 3
29, 72, 72, 3
30, 72, 72, 3
31, 72, 72, 3
32, 72, 72, 3
33, 72, 72, 3
34, 72, 72, 3
35, 73, 72, 3
36, 73, 72, 3
37, 74, 73, 3
38, 75, 74, 3
39, 75, 74, 3
40, 76, 75, 3
41, 76, 75, 3
42, 76, 75, 3
43, 75, 75, 3
44, 74, 75, 3
45, 74, 75, 3
46, 73, 75, 3
47, 74, 74, 3
48, 74, 74, 3
49, 75, 75, 3
50, 76, 75, 3
51, 76, 76, 3
52, 77, 76, 3
53, 78, 77, 3
54, 77, 77, 3
55, 77, 77, 3
56, 77, 77, 3
57, 77, 77, 3
58, 77, 77, 3
59, 77, 77, 3
60, 78, 77, 3
61, 78, 77, 3
62, 79, 78, 3
63, 79, 78, 3
64, 80, 79, 3
65, 80, 79, 3
66, 80, 79, 3
67, 79, 79, 3
68, 79, 79, 3
69, 78, 79, 3
70, 78, 79, 3
71, 77, 78, 3
72, 77, 78, 3
73, 77, 77, 3
74, 77, 77, 3
75, 77, 78, 3
76, 77, 78, 3
77, 77, 79, 3
78, 77, 80, 3
79, 78, 80, 3
80, 78, 80, 3
81, 78, 80, 3
82, 78, 80, 3
83, 78, 80, 3
84, 78, 79, 3
85, 78, 79, 3
86, 78, 79, 3
87, 78, 79, 3
88, 79, 79, 3
89, 80, 80, 3
