Title	Given planned earliest start	Given planned earliest end	Notes	Assigned Resources	Additional Title
"Manger avec Jo"	"07/29/2021 07:00 PM"	"07/29/2021 08:00 PM"	"Rappel"	""	""
"Midi avec Marionde"	"04/24/2021 12:00 PM"	"04/24/2021 01:00 PM"	"Rappel"	""	""
"Berne avec Leonor"	"10/16/2021"	"10/17/2021"	""	""	""
"Call Anne-Sophie"	"02/07/2021 04:00 PM"	"02/07/2021 05:00 PM"	"Rappel"	""	""
"Envoyer message à Gayal CFO / COO"	"06/12/2021 02:00 PM"	"06/12/2021 03:00 PM"	"Rappel"	""	""
"Verre avec Marin"	"09/25/2020 07:00 PM"	"09/25/2020 08:00 PM"	""	""	""
"Anni Jimmy"	"07/25/2020 09:30 PM"	"07/25/2020 10:30 PM"	"Rappel"	""	""
"Call Marionde et PLD"	"03/09/2021 06:30 PM"	"03/09/2021 07:30 PM"	"Rappel"	""	""
"Rendez-vous STCC Sécurité"	"04/22/2021 09:30 AM"	"04/22/2021 10:30 AM"	"Rappel"	""	""
"Marionde"	"02/25/2021 05:00 PM"	"02/25/2021 06:00 PM"	"Rappel"	""	""
"Présence au Forum"	"10/08/2020 10:30 AM"	"10/08/2020 01:30 PM"	"Rappel"	""	""
"Call SHS avec Emma"	"04/15/2021 04:00 PM"	"04/15/2021 06:00 PM"	"Rappel"	""	""
"Colo"	"07/31/2021"	"08/14/2021"	""	""	""
"Payer Emma"	"07/06/2021 05:00 PM"	"07/06/2021 06:00 PM"	"Rappel"	""	""
"Rendez-vous Jojo lac"	"04/01/2021 04:00 PM"	"04/01/2021 05:00 PM"	"Rappel"	""	""
"Bosser avec Élodie"	"01/12/2021 08:30 AM"	"01/12/2021 09:30 AM"	"Rappel"	""	""
"Canapé"	"09/22/2021 02:45 PM"	"09/22/2021 03:45 PM"	"Rappel"	""	""
"Général assembly racing team"	"02/15/2021 06:00 PM"	"02/15/2021 07:00 PM"	"Rappel"	""	""
"Meeting décision driverless"	"09/01/2021 11:15 AM"	"09/01/2021 12:15 PM"	"Rappel"	""	""
