speed,count,start_time,calorie,end_time,distance
0.928707,17,2021-12-03 07:40:00,0.687978,2021-12-03 07:41:00,13.800000
1.226347,34,2021-12-03 08:05:00,1.411551,2021-12-03 08:06:00,30.400000
0.826018,8,2021-12-03 08:26:00,0.274823,2021-12-03 08:27:00,5.040000
0.812203,31,2021-12-03 08:27:00,1.133873,2021-12-03 08:28:00,20.799999
1.111111,12,2021-12-03 08:27:00,0.400000,2021-12-03 08:27:59,8.340000
1.534645,16,2021-12-03 08:28:00,0.520000,2021-12-03 08:28:59,12.491000
0.224707,7,2021-12-03 08:28:00,0.682794,2021-12-03 08:29:00,5.960000
0.850989,16,2021-12-03 08:29:00,0.559386,2021-12-03 08:30:00,10.890000
1.472222,47,2021-12-03 08:29:00,1.590000,2021-12-03 08:29:59,34.920000
1.701833,130,2021-12-03 08:30:00,4.130000,2021-12-03 08:30:59,102.110000
1.773935,112,2021-12-03 08:30:00,4.520062,2021-12-03 08:31:00,105.612900
2.373844,124,2021-12-03 08:31:00,5.670387,2021-12-03 08:32:00,142.193619
1.630500,124,2021-12-03 08:31:00,3.730000,2021-12-03 08:31:59,97.830000
2.239698,124,2021-12-03 08:32:00,5.504910,2021-12-03 08:33:00,134.693619
1.666667,125,2021-12-03 08:32:00,3.820000,2021-12-03 08:32:59,99.440000
2.550337,127,2021-12-03 08:33:00,6.008812,2021-12-03 08:34:00,152.793030
1.669948,126,2021-12-03 08:33:00,3.780000,2021-12-03 08:33:59,100.030000
1.694613,132,2021-12-03 08:34:00,3.960000,2021-12-03 08:34:59,105.501000
2.325683,130,2021-12-03 08:34:00,5.578040,2021-12-03 08:35:00,139.104660
2.354782,128,2021-12-03 08:35:00,5.729325,2021-12-03 08:36:00,141.490799
1.707613,130,2021-12-03 08:35:00,3.910000,2021-12-03 08:35:59,87.879000
2.589918,129,2021-12-03 08:36:00,6.084709,2021-12-03 08:37:00,155.011688
1.833333,118,2021-12-03 08:36:00,4.300000,2021-12-03 08:36:59,93.470000
1.925770,117,2021-12-03 08:37:00,4.811206,2021-12-03 08:38:00,115.157806
1.500000,114,2021-12-03 08:37:00,3.740000,2021-12-03 08:37:59,88.200000
0.148991,9,2021-12-03 08:38:00,0.294270,2021-12-03 08:38:59,5.825400
0.925744,9,2021-12-03 08:38:00,0.294270,2021-12-03 08:39:00,5.825400
1.527778,17,2021-12-03 08:40:00,0.590000,2021-12-03 08:40:59,12.700000
0.103574,2,2021-12-03 08:40:00,0.245569,2021-12-03 08:41:00,1.200000
1.555556,16,2021-12-03 08:58:00,0.550000,2021-12-03 08:58:59,12.660000
1.194153,77,2021-12-03 08:59:00,2.772878,2021-12-03 09:00:00,57.812607
1.416074,95,2021-12-03 08:59:00,3.390000,2021-12-03 08:59:59,72.620000
1.430833,112,2021-12-03 09:00:00,3.710000,2021-12-03 09:00:59,85.850000
1.577712,113,2021-12-03 09:00:00,4.214038,2021-12-03 09:01:00,94.694977
1.555732,111,2021-12-03 09:01:00,4.101657,2021-12-03 09:02:00,93.198570
1.443041,113,2021-12-03 09:01:00,3.750000,2021-12-03 09:01:59,86.950000
1.507808,112,2021-12-03 09:02:00,4.077725,2021-12-03 09:03:00,90.502708
1.388889,110,2021-12-03 09:02:00,4.350000,2021-12-03 09:02:59,83.690000
1.237149,107,2021-12-03 09:03:00,3.490775,2021-12-03 09:04:00,74.098129
1.362759,107,2021-12-03 09:03:00,3.710000,2021-12-03 09:03:59,80.771000
