actual_temp,feels_like_temp,weather,time
1.75,0.49,moderate rain,2021-12-03 00:00:00
2.27,2.27,moderate rain,2021-12-03 01:00:00
3.35,-0.62,moderate rain,2021-12-03 02:00:00
4.1,-0.22,moderate rain,2021-12-03 03:00:00
4.36,-0.01,moderate rain,2021-12-03 04:00:00
4.95,0.66,moderate rain,2021-12-03 05:00:00
5.1,0.99,moderate rain,2021-12-03 06:00:00
5.49,1.67,moderate rain,2021-12-03 07:00:00
6.04,2.16,moderate rain,2021-12-03 08:00:00
6.68,3.2,moderate rain,2021-12-03 09:00:00
5.4,1.55,moderate rain,2021-12-03 10:00:00
6.61,3.26,moderate rain,2021-12-03 11:00:00
6.64,2.72,moderate rain,2021-12-03 12:00:00
6.19,1.62,moderate rain,2021-12-03 13:00:00
6.09,1.47,moderate rain,2021-12-03 14:00:00
6.21,1.53,moderate rain,2021-12-03 15:00:00
6.32,1.83,light rain,2021-12-03 16:00:00
5.54,0.83,light rain,2021-12-03 17:00:00
5.52,0.79,light rain,2021-12-03 18:00:00
4.91,4.91,moderate rain,2021-12-03 19:00:00
4.6,2.84,moderate rain,2021-12-03 20:00:00
3.77,3.77,light rain,2021-12-03 21:00:00
3.77,-0.36,moderate rain,2021-12-03 22:00:00
3.07,3.07,light rain,2021-12-03 23:00:00
