actual_temp,feels_like_temp,weather,time
-0.76,-4.9,clear sky,2021-12-03 00:00:00
-0.91,-5.09,clear sky,2021-12-03 01:00:00
-0.88,-5.38,clear sky,2021-12-03 02:00:00
-0.95,-6.31,clear sky,2021-12-03 03:00:00
-0.98,-6.09,clear sky,2021-12-03 04:00:00
-0.58,-5.85,clear sky,2021-12-03 05:00:00
-0.23,-6.28,clear sky,2021-12-03 06:00:00
-0.6,-6.34,clear sky,2021-12-03 07:00:00
0.45,-4.55,clear sky,2021-12-03 08:00:00
1.26,-3.53,clear sky,2021-12-03 09:00:00
2.8,-2.37,clear sky,2021-12-03 10:00:00
3.58,-1.84,clear sky,2021-12-03 11:00:00
3.47,-1.51,few clouds,2021-12-03 12:00:00
3.42,-2.04,scattered clouds,2021-12-03 13:00:00
2.92,-2.22,scattered clouds,2021-12-03 14:00:00
2.37,-2.93,scattered clouds,2021-12-03 15:00:00
2.39,-2.9,few clouds,2021-12-03 16:00:00
2.36,-3.28,clear sky,2021-12-03 17:00:00
2.42,-2.69,clear sky,2021-12-03 18:00:00
2.41,-3.05,clear sky,2021-12-03 19:00:00
2.27,-3.23,clear sky,2021-12-03 20:00:00
1.57,-3.96,light snow,2021-12-03 21:00:00
1.13,-4.52,light rain,2021-12-03 22:00:00
1.17,-3.87,light snow,2021-12-03 23:00:00
