heart_rate,heart_rate_max,heart_rate_min,start_time,end_time
113,128,100,2021-12-04 00:00:00,2021-12-04 00:00:59
101,107,95,2021-12-04 00:01:00,2021-12-04 00:01:59
99,107,87,2021-12-04 00:02:00,2021-12-04 00:02:59
98,99,98,2021-12-04 00:03:00,2021-12-04 00:03:59
77,82,74,2021-12-04 00:06:00,2021-12-04 00:06:59
73,77,70,2021-12-04 00:07:00,2021-12-04 00:07:59
77,89,65,2021-12-04 00:08:00,2021-12-04 00:08:59
89,98,83,2021-12-04 00:09:00,2021-12-04 00:09:59
81,89,76,2021-12-04 00:10:00,2021-12-04 00:10:59
78,84,73,2021-12-04 00:11:00,2021-12-04 00:11:59
87,96,78,2021-12-04 00:12:00,2021-12-04 00:12:59
81,88,77,2021-12-04 00:13:00,2021-12-04 00:13:59
82,88,78,2021-12-04 00:14:00,2021-12-04 00:14:59
82,87,75,2021-12-04 00:15:00,2021-12-04 00:15:59
83,89,80,2021-12-04 00:16:00,2021-12-04 00:16:59
82,89,78,2021-12-04 00:17:00,2021-12-04 00:17:59
78,83,75,2021-12-04 00:18:00,2021-12-04 00:18:59
78,83,75,2021-12-04 00:19:00,2021-12-04 00:19:59
82,86,81,2021-12-04 00:20:00,2021-12-04 00:20:59
80,84,79,2021-12-04 00:21:00,2021-12-04 00:21:59
81,86,77,2021-12-04 00:22:00,2021-12-04 00:22:59
81,84,80,2021-12-04 00:23:00,2021-12-04 00:23:59
83,85,82,2021-12-04 00:24:00,2021-12-04 00:24:59
80,84,76,2021-12-04 00:25:00,2021-12-04 00:25:59
74,76,72,2021-12-04 00:26:00,2021-12-04 00:26:59
76,81,71,2021-12-04 00:27:00,2021-12-04 00:27:59
80,84,78,2021-12-04 00:28:00,2021-12-04 00:28:59
85,88,80,2021-12-04 00:29:00,2021-12-04 00:29:59
86,89,83,2021-12-04 00:30:00,2021-12-04 00:30:59
85,89,84,2021-12-04 00:31:00,2021-12-04 00:31:59
84,87,81,2021-12-04 00:32:00,2021-12-04 00:32:59
86,92,80,2021-12-04 00:33:00,2021-12-04 00:33:59
84,89,78,2021-12-04 00:34:00,2021-12-04 00:34:59
79,83,76,2021-12-04 00:35:00,2021-12-04 00:35:59
84,84,84,2021-12-04 00:36:00,2021-12-04 00:36:59
82,85,75,2021-12-04 00:37:00,2021-12-04 00:37:59
79,82,74,2021-12-04 00:38:00,2021-12-04 00:38:59
82,88,79,2021-12-04 00:39:00,2021-12-04 00:39:59
83,86,81,2021-12-04 00:40:00,2021-12-04 00:40:59
85,88,83,2021-12-04 00:41:00,2021-12-04 00:41:59
79,87,75,2021-12-04 00:42:00,2021-12-04 00:42:59
74,76,73,2021-12-04 00:43:00,2021-12-04 00:43:59
72,76,70,2021-12-04 00:44:00,2021-12-04 00:44:59
76,82,72,2021-12-04 00:45:00,2021-12-04 00:45:59
82,84,82,2021-12-04 00:46:00,2021-12-04 00:46:59
79,82,78,2021-12-04 00:47:00,2021-12-04 00:47:59
82,85,80,2021-12-04 00:48:00,2021-12-04 00:48:59
80,83,78,2021-12-04 00:49:00,2021-12-04 00:49:59
76,79,73,2021-12-04 00:50:00,2021-12-04 00:50:59
81,85,78,2021-12-04 00:51:00,2021-12-04 00:51:59
78,83,75,2021-12-04 00:52:00,2021-12-04 00:52:59
72,75,69,2021-12-04 00:53:00,2021-12-04 00:53:59
73,75,72,2021-12-04 00:54:00,2021-12-04 00:54:59
79,83,74,2021-12-04 00:55:00,2021-12-04 00:55:59
79,83,78,2021-12-04 00:56:00,2021-12-04 00:56:59
80,84,76,2021-12-04 00:57:00,2021-12-04 00:57:59
84,85,84,2021-12-04 00:58:00,2021-12-04 00:58:59
84,87,78,2021-12-04 00:59:00,2021-12-04 00:59:59
79,81,77,2021-12-04 01:00:00,2021-12-04 01:00:59
81,84,79,2021-12-04 01:01:00,2021-12-04 01:01:59
80,83,77,2021-12-04 01:02:00,2021-12-04 01:02:59
81,83,79,2021-12-04 01:03:00,2021-12-04 01:03:59
77,80,76,2021-12-04 01:04:00,2021-12-04 01:04:59
79,83,76,2021-12-04 01:05:00,2021-12-04 01:05:59
80,82,78,2021-12-04 01:06:00,2021-12-04 01:06:59
86,89,83,2021-12-04 01:07:00,2021-12-04 01:07:59
85,90,80,2021-12-04 01:08:00,2021-12-04 01:08:59
74,81,68,2021-12-04 01:09:00,2021-12-04 01:09:59
69,74,67,2021-12-04 01:10:00,2021-12-04 01:10:59
72,74,71,2021-12-04 01:11:00,2021-12-04 01:11:59
70,73,69,2021-12-04 01:12:00,2021-12-04 01:12:59
70,76,66,2021-12-04 01:13:00,2021-12-04 01:13:59
84,119,74,2021-12-04 01:14:00,2021-12-04 01:14:59
119,123,116,2021-12-04 01:15:00,2021-12-04 01:15:59
119,124,117,2021-12-04 01:16:00,2021-12-04 01:16:59
120,125,112,2021-12-04 01:17:00,2021-12-04 01:17:59
129,131,128,2021-12-04 01:25:00,2021-12-04 01:25:59
122,127,119,2021-12-04 01:26:00,2021-12-04 01:26:59
124,128,123,2021-12-04 01:27:00,2021-12-04 01:27:59
127,133,122,2021-12-04 01:28:00,2021-12-04 01:28:59
119,126,110,2021-12-04 01:29:00,2021-12-04 01:29:59
112,117,110,2021-12-04 01:30:00,2021-12-04 01:30:59
119,123,116,2021-12-04 01:31:00,2021-12-04 01:31:59
124,131,120,2021-12-04 01:32:00,2021-12-04 01:32:59
118,120,117,2021-12-04 01:35:00,2021-12-04 01:35:59
119,121,118,2021-12-04 01:36:00,2021-12-04 01:36:59
129,132,124,2021-12-04 01:41:00,2021-12-04 01:41:59
136,140,130,2021-12-04 01:42:00,2021-12-04 01:42:59
129,134,123,2021-12-04 01:43:00,2021-12-04 01:43:59
108,126,97,2021-12-04 01:44:00,2021-12-04 01:44:59
97,98,96,2021-12-04 01:45:00,2021-12-04 01:45:59
85,88,81,2021-12-04 01:46:00,2021-12-04 01:46:59
81,92,79,2021-12-04 01:47:00,2021-12-04 01:47:59
99,103,95,2021-12-04 01:48:00,2021-12-04 01:48:59
106,111,101,2021-12-04 01:49:00,2021-12-04 01:49:59
100,109,95,2021-12-04 01:50:00,2021-12-04 01:50:59
114,122,107,2021-12-04 01:51:00,2021-12-04 01:51:59
117,121,110,2021-12-04 01:52:00,2021-12-04 01:52:59
110,111,109,2021-12-04 01:53:00,2021-12-04 01:53:59
85,87,83,2021-12-04 02:02:00,2021-12-04 02:02:59
82,83,82,2021-12-04 02:03:00,2021-12-04 02:03:59
82,86,80,2021-12-04 02:04:00,2021-12-04 02:04:59
84,87,80,2021-12-04 02:05:00,2021-12-04 02:05:59
91,100,82,2021-12-04 02:06:00,2021-12-04 02:06:59
97,100,94,2021-12-04 02:07:00,2021-12-04 02:07:59
89,94,86,2021-12-04 02:08:00,2021-12-04 02:08:59
87,90,84,2021-12-04 02:09:00,2021-12-04 02:09:59
86,89,84,2021-12-04 02:10:00,2021-12-04 02:10:59
91,96,86,2021-12-04 02:11:00,2021-12-04 02:11:59
92,96,89,2021-12-04 02:12:00,2021-12-04 02:12:59
90,93,88,2021-12-04 02:13:00,2021-12-04 02:13:59
88,92,86,2021-12-04 02:14:00,2021-12-04 02:14:59
84,89,81,2021-12-04 02:15:00,2021-12-04 02:15:59
84,92,80,2021-12-04 02:16:00,2021-12-04 02:16:59
79,81,77,2021-12-04 02:17:00,2021-12-04 02:17:59
76,81,74,2021-12-04 02:18:00,2021-12-04 02:18:59
85,92,81,2021-12-04 02:19:00,2021-12-04 02:19:59
89,95,85,2021-12-04 02:20:00,2021-12-04 02:20:59
93,100,84,2021-12-04 02:21:00,2021-12-04 02:21:59
87,89,85,2021-12-04 02:22:00,2021-12-04 02:22:59
86,87,85,2021-12-04 02:23:00,2021-12-04 02:23:59
88,93,86,2021-12-04 02:24:00,2021-12-04 02:24:59
92,94,90,2021-12-04 02:25:00,2021-12-04 02:25:59
89,94,86,2021-12-04 02:26:00,2021-12-04 02:26:59
84,88,81,2021-12-04 02:27:00,2021-12-04 02:27:59
85,89,80,2021-12-04 02:28:00,2021-12-04 02:28:59
88,91,85,2021-12-04 02:29:00,2021-12-04 02:29:59
92,97,89,2021-12-04 02:30:00,2021-12-04 02:30:59
89,92,88,2021-12-04 02:31:00,2021-12-04 02:31:59
83,86,82,2021-12-04 02:32:00,2021-12-04 02:32:59
79,84,77,2021-12-04 02:33:00,2021-12-04 02:33:59
81,84,79,2021-12-04 02:34:00,2021-12-04 02:34:59
81,83,80,2021-12-04 02:35:00,2021-12-04 02:35:59
81,84,79,2021-12-04 02:36:00,2021-12-04 02:36:59
83,86,81,2021-12-04 02:37:00,2021-12-04 02:37:59
81,85,74,2021-12-04 02:38:00,2021-12-04 02:38:59
76,82,73,2021-12-04 02:39:00,2021-12-04 02:39:59
82,86,77,2021-12-04 02:40:00,2021-12-04 02:40:59
82,84,81,2021-12-04 02:41:00,2021-12-04 02:41:59
84,92,81,2021-12-04 02:42:00,2021-12-04 02:42:59
88,95,83,2021-12-04 02:43:00,2021-12-04 02:43:59
95,101,90,2021-12-04 02:44:00,2021-12-04 02:44:59
