speed,count,start_time,calorie,end_time,distance
1.861111,15,2021-12-04 00:16:00,0.520000,2021-12-04 00:16:59,12.790000
1.611111,46,2021-12-04 00:17:00,1.530000,2021-12-04 00:17:59,35.930000
0.907001,33,2021-12-04 00:17:00,1.162461,2021-12-04 00:18:00,22.590000
0.320834,20,2021-12-04 00:19:00,1.469271,2021-12-04 00:20:00,16.200001
0.412903,8,2021-12-04 00:26:00,0.485665,2021-12-04 00:27:00,6.400000
0.400611,10,2021-12-04 00:28:00,0.447695,2021-12-04 00:29:00,5.740000
0.426286,23,2021-12-04 00:29:00,1.345318,2021-12-04 00:30:00,17.900000
1.150564,34,2021-12-04 00:30:00,1.239737,2021-12-04 00:31:00,26.330000
1.305556,40,2021-12-04 00:30:00,1.380000,2021-12-04 00:30:59,30.370000
0.832392,47,2021-12-04 00:31:00,1.840443,2021-12-04 00:32:00,33.705322
1.374230,74,2021-12-04 00:31:00,2.470000,2021-12-04 00:31:59,55.850000
0.916330,11,2021-12-04 00:32:00,0.341173,2021-12-04 00:33:00,7.194677
1.277778,6,2021-12-04 00:32:00,0.190000,2021-12-04 00:32:59,4.440000
0.041657,3,2021-12-04 00:33:00,0.792175,2021-12-04 00:34:00,1.650000
1.729884,78,2021-12-04 00:34:00,2.940000,2021-12-04 00:34:59,60.198000
1.393497,79,2021-12-04 00:34:00,3.083855,2021-12-04 00:35:00,67.509567
1.250000,12,2021-12-04 00:35:00,0.430000,2021-12-04 00:35:59,8.880000
1.058094,13,2021-12-04 00:35:00,0.373425,2021-12-04 00:36:00,7.744678
1.901105,22,2021-12-04 00:36:00,0.807442,2021-12-04 00:37:00,20.289106
1.401187,42,2021-12-04 00:36:00,1.400000,2021-12-04 00:36:59,31.711000
1.527778,81,2021-12-04 00:37:00,2.800000,2021-12-04 00:37:59,61.450000
1.331152,82,2021-12-04 00:37:00,3.111039,2021-12-04 00:38:00,67.326660
0.324287,8,2021-12-04 00:38:00,0.560455,2021-12-04 00:39:00,6.430000
0.526271,19,2021-12-04 00:43:00,0.973677,2021-12-04 00:44:00,14.530000
0.379721,9,2021-12-04 00:45:00,0.500789,2021-12-04 00:46:00,6.390000
1.971987,44,2021-12-04 00:45:00,1.620000,2021-12-04 00:45:59,36.040000
1.694444,9,2021-12-04 00:46:00,0.300000,2021-12-04 00:46:59,7.240000
0.489837,10,2021-12-04 00:50:00,0.418536,2021-12-04 00:51:00,6.100000
1.444444,48,2021-12-04 00:51:00,1.630000,2021-12-04 00:51:59,36.320000
1.527778,36,2021-12-04 00:52:00,1.170000,2021-12-04 00:52:59,28.050000
0.477297,22,2021-12-04 00:53:00,1.309878,2021-12-04 00:54:00,18.540001
1.344231,24,2021-12-04 00:54:00,0.830000,2021-12-04 00:54:59,17.551000
0.290230,10,2021-12-04 00:56:00,0.851724,2021-12-04 00:57:00,8.855324
0.760580,1,2021-12-04 00:57:00,0.000000,2021-12-04 00:58:00,0.264676
0.461436,17,2021-12-04 00:58:00,1.120516,2021-12-04 00:59:00,15.660000
1.863081,80,2021-12-04 00:59:00,3.130000,2021-12-04 00:59:59,67.029000
1.821864,58,2021-12-04 00:59:00,2.266898,2021-12-04 01:00:00,54.399708
1.051683,55,2021-12-04 01:00:00,2.869454,2021-12-04 01:01:00,57.620636
1.722222,77,2021-12-04 01:00:00,2.660000,2021-12-04 01:00:59,61.860000
1.241158,99,2021-12-04 01:01:00,3.617055,2021-12-04 01:02:00,76.136749
1.569425,96,2021-12-04 01:01:00,3.090000,2021-12-04 01:01:59,75.091000
1.730116,88,2021-12-04 01:02:00,3.458606,2021-12-04 01:03:00,80.923149
1.771386,89,2021-12-04 01:02:00,3.230000,2021-12-04 01:02:59,72.669000
1.527368,102,2021-12-04 01:03:00,4.115867,2021-12-04 01:04:00,91.734718
1.670845,110,2021-12-04 01:03:00,4.220000,2021-12-04 01:03:59,84.259000
1.502169,95,2021-12-04 01:04:00,6.170000,2021-12-04 01:04:59,62.189000
1.349146,77,2021-12-04 01:04:00,3.014668,2021-12-04 01:05:00,65.415962
2.305556,49,2021-12-04 01:05:00,2.330000,2021-12-04 01:05:59,43.250000
2.080915,43,2021-12-04 01:05:00,1.731761,2021-12-04 01:06:00,42.706882
1.872867,120,2021-12-04 01:06:00,4.709764,2021-12-04 01:07:00,111.870705
1.544862,120,2021-12-04 01:06:00,3.600000,2021-12-04 01:06:59,93.721000
1.625379,48,2021-12-04 01:07:00,1.520000,2021-12-04 01:07:59,37.979000
1.603663,36,2021-12-04 01:07:00,1.279393,2021-12-04 01:08:00,29.308228
1.487941,57,2021-12-04 01:08:00,1.960000,2021-12-04 01:08:59,43.580000
0.640405,45,2021-12-04 01:08:00,1.869260,2021-12-04 01:09:00,30.280947
1.647054,110,2021-12-04 01:09:00,3.590000,2021-12-04 01:09:59,87.049000
1.485157,77,2021-12-04 01:09:00,3.159619,2021-12-04 01:10:00,70.471161
1.500000,6,2021-12-04 01:10:00,0.200000,2021-12-04 01:10:59,4.660000
1.500000,24,2021-12-04 01:14:00,0.810000,2021-12-04 01:14:59,18.180000
1.000000,50,2021-12-04 01:18:00,1.880000,2021-12-04 01:18:59,35.599000
0.920122,54,2021-12-04 01:18:00,1.954492,2021-12-04 01:19:00,37.610001
1.333333,27,2021-12-04 01:20:00,1.010000,2021-12-04 01:20:59,20.550000
0.696310,14,2021-12-04 01:35:00,0.665415,2021-12-04 01:36:00,11.500000
0.731202,34,2021-12-04 01:41:00,1.580729,2021-12-04 01:42:00,27.660000
1.111111,33,2021-12-04 01:41:00,1.200000,2021-12-04 01:41:59,23.810000
1.361111,15,2021-12-04 01:50:00,0.520000,2021-12-04 01:50:59,11.240000
0.099172,11,2021-12-04 02:08:00,1.974147,2021-12-04 02:09:00,8.910000
2.033811,16,2021-12-04 02:09:00,0.510343,2021-12-04 02:10:00,13.760000
1.555556,20,2021-12-04 02:14:00,0.680000,2021-12-04 02:14:59,15.760000
1.352002,91,2021-12-04 02:15:00,3.100000,2021-12-04 02:15:59,68.800000
1.222077,64,2021-12-04 02:15:00,2.229681,2021-12-04 02:16:00,47.259998
1.626968,37,2021-12-04 02:17:00,1.380000,2021-12-04 02:17:59,30.130000
0.355869,10,2021-12-04 02:18:00,0.518910,2021-12-04 02:19:00,6.300000
0.644592,49,2021-12-04 02:19:00,1.875656,2021-12-04 02:20:00,30.879999
1.514303,111,2021-12-04 02:19:00,3.580000,2021-12-04 02:19:59,85.639000
1.087544,91,2021-12-04 02:20:00,3.095300,2021-12-04 02:21:00,61.990002
1.508275,94,2021-12-04 02:20:00,2.970000,2021-12-04 02:20:59,72.460000
1.194444,11,2021-12-04 02:21:00,0.390000,2021-12-04 02:21:59,8.040000
1.047928,68,2021-12-04 02:22:00,2.491752,2021-12-04 02:23:00,49.400002
1.442175,73,2021-12-04 02:22:00,2.480000,2021-12-04 02:22:59,54.162000
1.706324,67,2021-12-04 02:23:00,2.140000,2021-12-04 02:23:59,53.150000
0.292110,23,2021-12-04 02:23:00,1.507950,2021-12-04 02:24:00,15.539289
0.787574,45,2021-12-04 02:24:00,1.603962,2021-12-04 02:25:00,28.640711
1.385595,75,2021-12-04 02:24:00,2.510000,2021-12-04 02:24:59,56.688000
1.628380,110,2021-12-04 02:25:00,3.490000,2021-12-04 02:25:59,87.791000
0.630429,45,2021-12-04 02:25:00,1.814575,2021-12-04 02:26:00,29.540001
1.643954,103,2021-12-04 02:26:00,3.310000,2021-12-04 02:26:59,81.469000
0.484750,42,2021-12-04 02:26:00,1.909199,2021-12-04 02:27:00,27.139999
1.506132,78,2021-12-04 02:27:00,2.680000,2021-12-04 02:27:59,60.490000
0.260373,10,2021-12-04 02:27:00,0.712932,2021-12-04 02:28:00,6.774720
1.043701,91,2021-12-04 02:28:00,3.172717,2021-12-04 02:29:00,62.632362
1.612567,85,2021-12-04 02:28:00,2.880000,2021-12-04 02:28:59,67.729000
0.505940,39,2021-12-04 02:29:00,1.840872,2021-12-04 02:30:00,26.702915
1.902541,98,2021-12-04 02:29:00,3.100000,2021-12-04 02:29:59,79.640000
1.629205,107,2021-12-04 02:30:00,3.510000,2021-12-04 02:30:59,84.759000
0.060758,5,2021-12-04 02:30:00,1.109447,2021-12-04 02:31:00,3.250000
1.472222,88,2021-12-04 02:31:00,2.870000,2021-12-04 02:31:59,67.320000
0.393160,25,2021-12-04 02:31:00,1.428122,2021-12-04 02:32:00,17.750000
0.932942,46,2021-12-04 02:32:00,1.675485,2021-12-04 02:33:00,32.279999
1.642721,104,2021-12-04 02:32:00,3.320000,2021-12-04 02:32:59,81.941000
1.449993,92,2021-12-04 02:33:00,3.010000,2021-12-04 02:33:59,69.900000
0.567270,27,2021-12-04 02:33:00,1.159233,2021-12-04 02:34:00,17.750000
0.395115,43,2021-12-04 02:34:00,2.384968,2021-12-04 02:35:00,29.840000
1.677806,96,2021-12-04 02:34:00,3.270000,2021-12-04 02:34:59,77.620000
0.228479,20,2021-12-04 02:35:00,1.556650,2021-12-04 02:36:00,13.650000
1.546535,111,2021-12-04 02:35:00,3.480000,2021-12-04 02:35:59,86.470000
1.510540,112,2021-12-04 02:36:00,3.660000,2021-12-04 02:36:59,87.000000
1.518010,107,2021-12-04 02:37:00,3.450000,2021-12-04 02:37:59,83.099000
0.858277,57,2021-12-04 02:37:00,2.108356,2021-12-04 02:38:00,38.630001
