# Test: Biking - Fitzpatrick: Type II (White) - BMI: Normal (18.5 to 25)- Duration: 20 minutes - Time: 2020-09-12-11-34-02
# MAE: 7.71 - Noise: 11.29 - ProbabilityOfError: 0.76 - Availability: 100.0%
# mbs/icefish/icefish:9/PXE1.200905.002.DBW3.002/000098:userdebug/dev-keys
seconds, wear, bluetooth, confidence
0, 87, 100, 1
1, 88, 100, 1
2, 87, 100, 1
3, 87, 100, 1
4, 88, 100, 1
5, 88, 100, 1
6, 88, 100, 1
7, 88, 99, 1
8, 89, 99, 1
9, 91, 99, 2
10, 93, 99, 2
11, 94, 99, 2
12, 94, 99, 2
13, 94, 99, 3
14, 95, 99, 3
15, 94, 99, 3
16, 94, 99, 3
17, 95, 99, 3
18, 94, 98, 3
19, 94, 99, 2
20, 94, 99, 2
21, 95, 100, 2
22, 95, 101, 2
23, 95, 102, 2
24, 94, 102, 2
25, 95, 104, 2
26, 94, 105, 2
27, 93, 107, 2
28, 93, 108, 2
29, 94, 109, 2
30, 93, 111, 2
31, 93, 112, 2
32, 92, 112, 1
33, 91, 112, 1
34, 89, 113, 1
35, 87, 114, 1
36, 89, 114, 2
37, 89, 115, 2
38, 89, 116, 2
39, 89, 116, 2
40, 89, 117, 2
41, 89, 118, 2
42, 90, 119, 2
43, 90, 118, 2
44, 91, 118, 2
45, 92, 116, 2
46, 92, 116, 2
47, 93, 114, 2
48, 93, 113, 2
49, 93, 113, 1
50, 89, 112, 1
51, 88, 113, 1
52, 86, 114, 1
53, 84, 115, 1
54, 83, 116, 2
55, 83, 118, 2
56, 83, 119, 2
57, 85, 120, 2
58, 85, 122, 2
59, 85, 123, 2
60, 87, 125, 2
61, 88, 126, 2
62, 88, 127, 2
63, 87, 128, 2
64, 86, 129, 2
65, 86, 129, 2
66, 86, 130, 2
67, 88, 130, 2
68, 86, 129, 2
69, 86, 129, 2
70, 86, 129, 2
71, 86, 129, 2
72, 87, 129, 2
73, 87, 129, 2
74, 87, 128, 2
75, 87, 128, 2
76, 88, 128, 1
77, 86, 128, 1
78, 88, 128, 1
79, 87, 129, 1
80, 87, 129, 1
81, 87, 130, 1
82, 86, 130, 1
83, 86, 131, 1
84, 86, 131, 1
85, 88, 132, 1
86, 87, 133, 1
87, 87, 133, 1
88, 89, 134, 1
89, 91, 135, 1
90, 91, 136, 1
91, 91, 136, 1
92, 92, 137, 1
93, 93, 137, 1
94, 93, 138, 1
95, 93, 138, 1
96, 94, 138, 1
97, 93, 138, 1
98, 91, 138, 1
99, 93, 138, 1
100, 93, 138, 1
101, 93, 138, 1
102, 93, 138, 1
103, 94, 138, 1
104, 93, 138, 1
105, 94, 139, 1
106, 92, 139, 1
107, 93, 139, 1
108, 93, 139, 1
109, 93, 139, 1
110, 95, 138, 1
111, 94, 138, 1
112, 94, 137, 1
113, 94, 137, 1
114, 93, 136, 1
115, 94, 136, 1
116, 94, 135, 1
117, 94, 135, 1
118, 95, 135, 1
119, 95, 135, 1
120, 95, 135, 1
121, 95, 135, 1
122, 96, 135, 1
123, 97, 136, 1
124, 97, 136, 1
125, 98, 136, 1
126, 100, 137, 1
127, 99, 137, 1
128, 103, 137, 1
129, 104, 137, 1
130, 103, 136, 2
131, 102, 136, 2
132, 103, 136, 2
133, 103, 136, 2
134, 103, 136, 2
135, 104, 137, 2
136, 103, 137, 2
137, 105, 137, 2
138, 106, 138, 2
139, 107, 138, 2
140, 107, 139, 2
141, 109, 139, 2
142, 110, 139, 2
143, 108, 139, 2
144, 110, 140, 1
145, 109, 140, 1
146, 109, 140, 1
147, 114, 140, 2
148, 117, 140, 2
149, 118, 140, 2
150, 119, 141, 2
151, 119, 141, 2
152, 119, 141, 2
153, 116, 141, 2
154, 115, 141, 2
155, 116, 141, 2
156, 118, 141, 2
157, 118, 142, 2
158, 119, 141, 2
159, 123, 142, 2
160, 126, 142, 2
161, 127, 142, 2
162, 127, 142, 2
163, 130, 142, 2
164, 130, 142, 2
165, 129, 143, 2
166, 129, 143, 2
167, 126, 143, 2
168, 127, 143, 2
169, 127, 143, 2
170, 125, 143, 2
171, 124, 143, 2
172, 126, 143, 2
173, 126, 143, 2
174, 127, 142, 2
175, 131, 142, 2
176, 133, 141, 2
177, 135, 141, 2
178, 136, 140, 2
179, 136, 140, 2
180, 138, 140, 2
181, 138, 140, 2
182, 138, 139, 2
183, 139, 139, 2
184, 139, 139, 2
185, 139, 139, 2
186, 140, 139, 2
187, 139, 139, 2
188, 138, 139, 2
189, 139, 140, 2
