# Test: Fast_Running - Fitzpatrick: Type II (White) - BMI: Normal (18.5 to 25)- Duration: 20 minutes - Time: 2020-09-13-09-25-08
# MAE: 1.94 - Noise: 3.49 - ProbabilityOfError: 0.96 - Availability: 100.0%
# mbs/icefish/icefish:9/PXE1.200905.002.DBW3.002/000098:userdebug/dev-keys
seconds, wear, bluetooth, confidence
0, 82, 102, 2
1, 83, 100, 2
2, 84, 99, 2
3, 84, 96, 2
4, 83, 96, 2
5, 83, 95, 2
6, 83, 97, 2
7, 83, 99, 2
8, 83, 100, 2
9, 84, 101, 2
10, 85, 101, 2
11, 87, 100, 2
12, 88, 99, 2
13, 90, 96, 2
14, 92, 94, 3
15, 93, 94, 3
16, 93, 94, 3
17, 93, 96, 3
18, 93, 98, 3
19, 93, 99, 3
20, 93, 102, 3
21, 92, 104, 2
22, 93, 107, 2
23, 92, 108, 2
24, 93, 110, 2
25, 93, 111, 2
26, 94, 111, 2
27, 95, 112, 2
28, 95, 113, 2
29, 96, 113, 2
30, 97, 114, 2
31, 97, 115, 2
32, 97, 116, 2
33, 97, 117, 2
34, 98, 118, 2
35, 99, 119, 2
36, 101, 119, 2
37, 102, 119, 2
38, 100, 120, 2
39, 99, 120, 2
40, 99, 120, 2
41, 101, 121, 2
42, 102, 121, 2
43, 105, 122, 2
44, 106, 122, 2
45, 107, 122, 2
46, 104, 123, 2
47, 107, 124, 2
48, 111, 124, 2
49, 113, 125, 2
50, 114, 126, 3
51, 113, 126, 3
52, 114, 127, 2
53, 111, 127, 2
54, 116, 128, 2
55, 121, 128, 2
56, 125, 128, 2
57, 126, 128, 3
58, 128, 129, 3
59, 131, 129, 3
60, 132, 130, 3
61, 132, 130, 3
62, 131, 130, 3
63, 131, 131, 3
64, 132, 131, 3
65, 132, 131, 3
66, 133, 132, 3
67, 134, 132, 3
68, 133, 132, 3
69, 133, 132, 3
70, 133, 132, 3
71, 132, 132, 3
72, 131, 132, 3
73, 132, 132, 3
74, 132, 133, 3
75, 132, 133, 3
76, 133, 133, 3
77, 134, 133, 3
78, 135, 134, 3
79, 134, 134, 3
80, 135, 134, 3
81, 135, 135, 3
82, 135, 135, 3
83, 135, 136, 3
84, 136, 136, 3
85, 136, 136, 3
86, 136, 136, 3
87, 136, 137, 3
88, 136, 137, 3
89, 136, 137, 3
90, 136, 137, 3
91, 136, 137, 3
92, 137, 137, 3
93, 137, 138, 3
94, 138, 137, 3
95, 138, 137, 3
96, 137, 137, 3
97, 138, 137, 3
98, 138, 137, 3
99, 138, 137, 3
100, 137, 137, 3
101, 137, 137, 3
102, 137, 137, 3
103, 136, 137, 3
104, 137, 137, 3
105, 137, 137, 3
106, 137, 138, 3
107, 138, 138, 3
108, 138, 138, 3
109, 138, 138, 3
110, 138, 138, 3
111, 137, 137, 3
112, 137, 137, 3
113, 137, 137, 3
114, 136, 138, 3
115, 137, 138, 3
116, 137, 137, 3
117, 137, 137, 3
118, 137, 137, 3
119, 137, 138, 3
120, 136, 137, 3
121, 137, 138, 3
122, 137, 138, 3
123, 138, 138, 3
124, 137, 138, 3
125, 138, 138, 3
126, 138, 139, 3
127, 138, 139, 3
128, 138, 139, 3
129, 139, 139, 3
130, 139, 139, 3
131, 139, 139, 3
132, 139, 139, 3
133, 138, 139, 3
134, 138, 138, 3
135, 138, 139, 3
136, 139, 139, 3
137, 139, 139, 3
138, 139, 139, 3
139, 138, 139, 3
140, 138, 139, 3
141, 138, 139, 3
142, 139, 139, 3
143, 138, 139, 3
144, 138, 139, 3
145, 138, 139, 3
146, 138, 140, 3
147, 139, 140, 3
148, 139, 140, 3
149, 140, 140, 3
150, 139, 140, 3
151, 139, 140, 3
152, 140, 140, 3
153, 139, 140, 3
154, 139, 140, 3
155, 139, 139, 3
156, 139, 139, 3
157, 140, 139, 3
158, 139, 139, 3
159, 140, 139, 3
160, 139, 140, 3
161, 139, 140, 3
162, 139, 141, 3
163, 139, 140, 3
164, 140, 141, 3
165, 140, 140, 2
