# Test: Outdoor_Walking - Fitzpatrick: Type II (White) - BMI: Normal (18.5 to 25)- Duration: 15 minutes - Time: 2020-09-11-17-51-44
# MAE: 8.79 - Noise: 2.81 - ProbabilityOfError: 0.52 - Availability: 100.0%
# mbs/icefish/icefish:9/PXE1.200905.002.DBW3.002/000098:userdebug/dev-keys
seconds, wear, bluetooth, confidence
0, 85, 74, 1
1, 84, 73, 1
2, 85, 73, 2
3, 86, 73, 2
4, 84, 73, 2
5, 83, 74, 2
6, 83, 76, 2
7, 83, 77, 2
8, 84, 78, 2
9, 85, 80, 2
10, 85, 80, 2
11, 85, 81, 2
12, 85, 80, 2
13, 85, 79, 2
14, 85, 78, 2
15, 84, 76, 2
16, 84, 76, 2
17, 85, 75, 2
18, 84, 75, 2
19, 86, 74, 2
20, 85, 74, 2
21, 85, 74, 2
22, 86, 74, 2
23, 87, 75, 2
24, 87, 75, 2
