# Test: Resting - Fitzpatrick: Type II (White) - BMI: Normal (18.5 to 25)- Duration: 5 minutes - Time: 2020-09-12-07-05-19
# MAE: 1.04 - Noise: 1.08 - ProbabilityOfError: 1.00 - Availability: 100.0%
# mbs/icefish/icefish:9/PXE1.200905.002.DBW3.002/000098:userdebug/dev-keys
seconds, wear, bluetooth, confidence
0, 67, 65, 2
1, 66, 65, 2
2, 65, 64, 2
3, 65, 64, 2
4, 64, 64, 2
5, 63, 64, 2
6, 63, 64, 3
7, 62, 64, 3
8, 62, 63, 3
9, 61, 63, 3
10, 60, 63, 3
11, 60, 62, 3
12, 60, 62, 3
13, 60, 61, 3
14, 61, 62, 3
15, 62, 62, 3
16, 62, 62, 3
17, 63, 62, 3
18, 64, 63, 3
19, 64, 63, 3
20, 65, 64, 3
21, 65, 64, 3
22, 64, 64, 3
23, 64, 65, 3
24, 64, 64, 3
25, 64, 64, 3
26, 63, 65, 3
27, 62, 64, 3
28, 62, 63, 3
29, 63, 63, 3
30, 63, 64, 3
31, 63, 64, 3
32, 63, 64, 3
33, 62, 64, 3
34, 62, 63, 3
35, 61, 63, 3
36, 61, 63, 3
37, 60, 62, 3
38, 60, 62, 3
39, 61, 62, 3
40, 61, 62, 3
41, 62, 62, 3
42, 63, 63, 3
43, 63, 63, 3
44, 64, 63, 3
45, 64, 64, 3
46, 64, 64, 3
47, 63, 63, 3
48, 63, 63, 3
49, 63, 63, 3
50, 63, 63, 3
51, 63, 63, 3
52, 63, 63, 3
53, 63, 64, 3
54, 63, 64, 3
55, 63, 64, 3
56, 63, 64, 3
57, 63, 64, 3
58, 63, 64, 3
59, 64, 64, 3
60, 64, 64, 3
61, 64, 64, 3
62, 64, 64, 3
63, 63, 64, 3
64, 63, 64, 3
65, 63, 64, 3
66, 63, 64, 3
67, 64, 64, 3
68, 64, 64, 3
69, 64, 64, 3
70, 65, 65, 3
71, 65, 65, 3
72, 65, 65, 3
73, 65, 65, 3
74, 65, 65, 3
75, 65, 65, 3
76, 65, 65, 3
77, 65, 65, 3
78, 65, 65, 3
79, 65, 65, 3
80, 65, 65, 3
81, 66, 65, 3
82, 66, 66, 3
83, 66, 66, 3
84, 66, 66, 3
85, 67, 66, 3
86, 67, 66, 3
87, 67, 67, 3
88, 67, 67, 3
89, 67, 67, 3
