# Test: Weight_Lifting - Fitzpatrick: Type II (White) - BMI: Normal (18.5 to 25)- Duration: 5 minutes - Time: 2020-09-12-07-22-45
# MAE: 3.57 - Noise: 3.13 - ProbabilityOfError: 0.96 - Availability: 100.0%
# mbs/icefish/icefish:9/PXE1.200905.002.DBW3.002/000098:userdebug/dev-keys
seconds, wear, bluetooth, confidence
0, 61, 63, 2
1, 61, 62, 3
2, 61, 62, 3
3, 60, 62, 3
4, 60, 62, 3
5, 61, 62, 3
6, 61, 62, 3
7, 60, 62, 3
8, 60, 62, 3
9, 59, 62, 3
10, 59, 62, 3
11, 60, 62, 3
12, 59, 63, 3
13, 60, 63, 3
14, 60, 63, 3
15, 60, 63, 3
16, 59, 63, 3
17, 60, 63, 3
18, 60, 62, 3
19, 59, 62, 3
20, 58, 62, 3
21, 59, 62, 3
22, 59, 62, 3
23, 59, 62, 2
24, 60, 63, 2
25, 60, 64, 2
26, 59, 64, 2
27, 58, 64, 2
28, 59, 64, 2
29, 58, 64, 2
30, 57, 64, 2
31, 57, 64, 2
32, 57, 64, 2
33, 58, 64, 2
34, 59, 65, 2
35, 60, 65, 3
36, 61, 65, 3
37, 60, 66, 3
38, 61, 66, 3
39, 62, 66, 3
40, 63, 65, 3
41, 64, 65, 3
42, 64, 65, 3
43, 65, 65, 3
44, 64, 65, 3
45, 63, 65, 3
46, 63, 65, 3
47, 63, 64, 3
48, 63, 64, 3
49, 62, 64, 3
50, 62, 64, 3
51, 61, 65, 2
52, 60, 65, 2
53, 61, 65, 2
54, 60, 65, 2
55, 58, 65, 2
56, 56, 64, 2
57, 58, 64, 2
58, 57, 64, 2
59, 59, 64, 2
60, 59, 64, 2
61, 61, 64, 2
62, 61, 64, 3
63, 60, 64, 3
64, 59, 64, 3
65, 59, 65, 2
66, 59, 65, 2
67, 59, 65, 2
68, 59, 65, 2
69, 59, 65, 2
70, 57, 65, 2
71, 57, 64, 2
72, 56, 64, 2
73, 57, 64, 2
74, 56, 63, 2
75, 56, 63, 2
76, 55, 63, 2
77, 56, 63, 2
78, 56, 64, 2
79, 56, 64, 3
80, 55, 64, 3
81, 55, 64, 3
82, 56, 64, 3
83, 55, 63, 2
84, 55, 63, 2
85, 55, 63, 2
86, 55, 63, 2
87, 54, 63, 2
88, 54, 64, 2
89, 53, 64, 2
90, 54, 64, 2
91, 53, 64, 2
92, 53, 64, 2
93, 53, 64, 2
94, 52, 64, 2
95, 53, 64, 2
96, 53, 64, 2
97, 54, 64, 2
98, 53, 64, 2
99, 56, 64, 2
100, 56, 64, 2
101, 57, 64, 2
102, 58, 65, 2
103, 59, 65, 2
104, 60, 66, 2
105, 62, 66, 3
106, 63, 67, 3
107, 63, 67, 3
108, 62, 67, 3
109, 62, 67, 3
110, 62, 68, 3
111, 62, 68, 3
112, 63, 68, 3
113, 61, 69, 3
114, 61, 69, 3
115, 60, 69, 3
116, 60, 67, 3
117, 61, 66, 3
118, 61, 65, 3
119, 60, 65, 3
120, 62, 65, 3
121, 63, 64, 3
122, 63, 64, 3
123, 64, 65, 3
124, 65, 65, 3
125, 65, 65, 3
126, 64, 66, 3
127, 64, 66, 3
128, 64, 66, 3
129, 63, 66, 3
130, 64, 65, 3
131, 64, 65, 3
132, 63, 65, 3
133, 62, 64, 3
134, 62, 64, 3
135, 61, 64, 3
136, 61, 64, 3
137, 61, 64, 3
138, 61, 63, 3
139, 61, 63, 3
140, 61, 63, 3
141, 61, 63, 3
142, 61, 63, 3
143, 61, 63, 3
144, 61, 63, 3
145, 61, 63, 3
146, 61, 63, 3
147, 61, 62, 3
148, 62, 62, 3
149, 63, 62, 3
150, 63, 62, 3
151, 63, 63, 3
152, 62, 63, 3
153, 61, 63, 3
154, 61, 63, 3
155, 61, 64, 3
156, 60, 64, 3
157, 60, 64, 3
158, 60, 64, 3
159, 60, 64, 3
160, 61, 64, 3
161, 61, 64, 3
162, 62, 65, 3
163, 62, 65, 3
164, 62, 65, 3
165, 62, 65, 3
166, 62, 65, 3
167, 61, 65, 3
168, 61, 66, 3
169, 63, 67, 3
170, 62, 68, 3
171, 61, 68, 3
172, 61, 69, 3
173, 61, 70, 3
174, 60, 70, 3
175, 60, 69, 3
176, 60, 68, 3
177, 59, 68, 3
178, 61, 68, 3
179, 61, 68, 3
180, 60, 68, 3
181, 59, 68, 3
182, 60, 68, 3
183, 60, 67, 3
184, 61, 66, 3
185, 60, 66, 3
186, 60, 67, 3
187, 61, 67, 3
188, 62, 66, 3
189, 62, 66, 3
190, 62, 65, 3
191, 61, 65, 3
192, 61, 64, 3
193, 62, 64, 3
194, 61, 64, 3
195, 61, 64, 3
196, 61, 64, 3
197, 62, 63, 3
198, 62, 63, 3
199, 63, 63, 3
200, 63, 63, 3
201, 63, 63, 3
202, 64, 63, 3
203, 64, 64, 3
204, 64, 64, 3
205, 64, 65, 3
206, 64, 65, 3
207, 63, 64, 3
208, 63, 64, 3
209, 62, 64, 3
210, 62, 63, 3
211, 62, 63, 3
212, 62, 63, 3
213, 62, 63, 3
214, 62, 63, 3
215, 62, 63, 3
216, 62, 63, 3
217, 62, 63, 3
218, 61, 63, 3
219, 61, 63, 3
220, 61, 63, 3
221, 61, 63, 3
222, 61, 63, 3
223, 61, 62, 3
224, 62, 62, 3
225, 62, 62, 3
226, 62, 62, 3
227, 62, 62, 3
228, 62, 63, 3
229, 63, 63, 3
230, 63, 63, 3
231, 64, 63, 3
232, 64, 64, 3
233, 65, 64, 3
234, 65, 64, 3
235, 65, 64, 3
236, 65, 65, 3
237, 66, 65, 3
238, 67, 65, 3
239, 67, 66, 3
240, 67, 66, 3
241, 67, 66, 3
242, 68, 67, 3
243, 68, 67, 3
244, 67, 67, 3
245, 67, 67, 3
246, 67, 67, 3
247, 66, 67, 3
248, 66, 67, 3
249, 66, 67, 3
250, 66, 66, 3
251, 66, 66, 3
252, 66, 66, 3
253, 66, 66, 3
254, 65, 66, 3
255, 66, 66, 3
256, 66, 66, 3
257, 65, 66, 3
258, 65, 66, 3
259, 65, 66, 3
260, 65, 66, 3
261, 65, 66, 3
262, 65, 66, 3
263, 65, 66, 3
264, 66, 66, 3
265, 66, 66, 3
266, 66, 67, 3
