com.samsung.health.step_count,1144003,6
speed,pkg_name,count,sample_position_type,time_offset,start_time,calorie,deviceuuid,custom,end_time,datauuid,distance,create_time,update_time
1.388889,com.sec.android.app.shealth,16,230002,3600000,28.11.2021 à 13:50:00,0.570000,3hCrv0rpUB,,28.11.2021 à 13:50:59,ad8df63e-5ebd-f79b-8dde-1271d2f42681,11.510000,28.11.2021 à 13:51:07,28.11.2021 à 13:51:07,
1.497405,com.sec.android.app.shealth,22,230002,3600000,28.11.2021 à 13:51:00,0.730000,3hCrv0rpUB,,28.11.2021 à 13:51:59,cb7deb6f-37d4-ad00-f988-e038d5a17976,17.090000,28.11.2021 à 13:51:31,28.11.2021 à 13:51:31,
1.277778,com.sec.android.app.shealth,17,230002,3600000,28.11.2021 à 13:56:00,0.590000,3hCrv0rpUB,,28.11.2021 à 13:56:59,dfe208e9-73e4-cb09-5c22-3857f3c0fc3e,12.440000,28.11.2021 à 14:00:01,28.11.2021 à 14:00:01,
2.027778,com.sec.android.app.shealth,19,230002,3600000,28.11.2021 à 14:06:00,0.660000,3hCrv0rpUB,,28.11.2021 à 14:06:59,ddadb074-152f-7332-3c59-b3e296ba21ed,15.370000,28.11.2021 à 14:10:03,28.11.2021 à 14:10:03,
1.277778,com.sec.android.app.shealth,15,230002,3600000,28.11.2021 à 14:11:00,0.520000,3hCrv0rpUB,,28.11.2021 à 14:11:59,5e23f9c1-f872-b195-0af1-041d1442c31e,11.120000,28.11.2021 à 14:13:25,28.11.2021 à 14:13:25,
1.527778,com.sec.android.app.shealth,59,230002,3600000,28.11.2021 à 14:12:00,2.050000,3hCrv0rpUB,,28.11.2021 à 14:12:59,6a1b4cfd-4030-58e7-8145-790dfbbb3847,45.690000,28.11.2021 à 14:13:25,28.11.2021 à 14:13:25,
1.764286,com.sec.android.app.shealth,14,,3600000,28.11.2021 à 14:12:00,0.457786,NS2ZoYjFXt,,28.11.2021 à 14:13:00,16381051-0000-0000-0000-381051200000,12.350000,28.11.2021 à 16:12:54,28.11.2021 à 16:12:54,
0.403583,com.sec.android.app.shealth,20,,3600000,28.11.2021 à 14:45:00,1.058468,NS2ZoYjFXt,,28.11.2021 à 14:46:00,16381071-0000-0000-0000-381071000000,13.360000,28.11.2021 à 16:12:54,28.11.2021 à 16:12:54,
1.388889,com.sec.android.app.shealth,12,230002,3600000,28.11.2021 à 14:45:00,0.400000,3hCrv0rpUB,,28.11.2021 à 14:45:59,56326baa-d041-a5c6-7f50-b791d72487ed,9.020000,28.11.2021 à 14:45:22,28.11.2021 à 14:45:22,

