timestamp,x,y,z,accuracy
1637591453144,-0.1831251,2.7340374,9.275174,3
1637591453145,0.7793026,2.4180164,5.880342,3
1637591453149,-0.0011735931,5.5686502,8.288806,3
1637591453151,0.47764617,4.2854133,8.686227,3
1637591453152,0.099378556,4.4817295,8.274442,3
1637591453178,-0.9683895,4.5296116,8.724531,3
1637591453180,-0.59012187,4.247108,8.068549,3
1637591453194,-0.20706607,5.008431,7.7764683,3
1637591453216,0.24302448,5.731449,7.9488435,3
1637591453237,0.45370513,6.1863275,8.19783,3
1637591453295,0.7745144,6.3012447,8.317535,3
1637591453311,1.1910876,5.980435,8.044608,3
1637591453311,1.6076608,6.363491,8.317535,3
1637591453325,2.0194457,5.736237,7.675916,3
1637591453334,1.7034247,5.372334,7.795621,3
1637591453355,1.2389694,4.472153,7.920114,3
1637591453376,1.2820634,4.21359,7.920114,3
1637591453395,1.6794838,4.74508,7.944055,3
1637591453415,1.5502024,4.2566843,7.920114,3
1637591453436,1.3107924,4.3141427,7.9249024,3
1637591453455,1.4640149,4.6062226,7.8818083,3
1637591453474,1.6938484,5.104195,8.030244,3
1637591453494,1.3682508,4.9749136,8.528215,3
1637591453515,1.5023204,5.080254,8.734109,3
1637591453533,1.7034247,4.8312674,8.384569,3
1637591453553,1.9236817,4.5343995,8.1307955,3
1637591453573,1.9236817,4.8983026,8.341476,3
1637591453594,1.8422825,4.764233,8.99267,3
1637591453613,1.4831676,4.40033,9.318269,3
1637591453633,1.2916397,4.175285,9.179411,3
1637591453654,1.0761708,3.6437948,8.729321,3
1637591453673,0.8607019,4.5296116,9.040552,3
1637591453693,0.44412875,6.296456,9.409245,3
1637591453713,-0.07299656,4.405118,6.9768395,3
1637591453733,-0.31240642,4.5631285,7.599305,3
1637591453752,-0.50872254,6.0857754,8.183465,3
1637591453772,-0.3650766,6.296456,8.40851,3
1637591453792,-0.13524313,5.472886,8.427664,3
1637591453812,-0.1831251,4.98449,8.51864,3
1637591453832,-0.24537168,3.8544755,9.615136,3
1637591453852,-0.1687605,3.2415864,9.89764,3
1637591453872,-0.010749988,3.7826526,9.552891,3
1637591453891,0.3866704,4.060368,9.332632,3
1637591453911,0.8032435,3.9933333,9.227292,3
1637591453931,1.0378653,3.6246421,8.791567,3
1637591453950,1.2102404,3.6485832,8.609615,3
1637591453970,1.3395218,3.4809961,8.40851,3
1637591453991,1.4640149,3.4187496,8.0254545,3
1637591454010,1.5118968,3.0021763,7.9967256,3
1637591454031,1.4113446,2.6717908,8.126007,3
1637591454050,1.4879558,2.75319,8.250501,3
1637591454069,1.3203689,3.356503,8.398934,3
1637591454157,1.1240529,3.519302,8.422875,3
1637591454165,0.86549014,4.414695,8.09249,3
1637591454166,0.5542573,4.381177,7.8818083,3
1637591454167,-0.22621888,3.0117528,8.714955,3
1637591454168,-1.2796224,1.63754,9.610349,3
1637591454187,-2.2612028,1.2209668,10.132261,3
1637591454206,-3.0991373,0.81875825,9.825817,3
1637591454227,-3.601898,1.6088108,9.706113,3
1637591454247,-3.961013,1.2880015,10.951043,3
1637591454267,-4.703183,0.59850115,11.396346,3
1637591454287,-5.8331976,0.18192798,11.755461,3
1637591454307,-6.699862,1.2113904,11.142571,3
1637591454327,-6.699862,1.613599,11.2718525,3
1637591454348,-6.541851,0.46443164,11.291005,3
1637591454368,-6.637615,-0.15803407,11.142571,3
1637591454386,-6.608886,0.4835844,10.682904,3
1637591454406,-6.0678196,1.2018139,10.007769,3
1637591454424,-5.5123887,1.5992343,8.786778,3
1637591454445,-5.5363297,1.8434324,8.3893585,3
1637591454466,-5.4932356,2.0924187,8.188254,3
1637591454486,-5.205944,1.9727138,7.7046456,3
1637591454505,-5.071874,1.4220711,7.283284,3
1637591454525,-5.205944,1.3598244,7.163579,3
1637591454545,-5.3783193,0.9911334,6.675183,3
1637591454566,-5.2346735,0.3782441,5.8228836,3
1637591454584,-5.1101804,-0.277739,4.6306224,3
1637591454605,-5.2155204,-0.9768159,2.289194,3
1637591454624,-4.8659816,-1.733351,-0.449655,3
1637591454644,-2.921974,-2.6239557,-3.2746916,3
1637591454664,-4.253093,-2.896883,-3.528466,3
1637591454697,-8.260815,-4.113085,-0.93805116,3
1637591454732,-10.065965,-5.994847,2.945177,3
1637591454732,-5.646458,-7.6515627,2.7823782,3
1637591454759,-3.4199464,-5.7410727,0.8958285,3
1637591454770,-4.262669,-4.5823283,0.4601025,3
1637591454783,-7.360633,-4.9989014,3.89324,3
1637591454800,-9.194512,-5.8655653,7.42693,3
1637591454822,-9.366888,-2.849001,7.015145,3
1637591454841,-8.888068,-7.388212,3.9554868,3
1637591454870,-10.310163,-9.059294,4.4151535,3
1637591454880,-11.895056,-7.790421,7.9632077,3
1637591454906,-11.64607,-6.444937,9.05013,3
1637591454920,-10.745889,-6.6891356,7.6328225,3
1637591454947,-10.812923,-7.2828717,6.043141,3
1637591454960,-11.492847,-6.8088403,6.191575,3
1637591454980,-12.421758,-6.823205,6.9816275,3
1637591455000,-12.680321,-6.9812155,6.8092523,3
1637591455029,-12.938883,-5.956541,6.632089,3
1637591455106,-13.274056,-4.539235,4.7694807,3
1637591455110,-13.757665,-3.0357406,4.3146014,3
1637591455111,-14.092839,-1.5178821,4.692869,3
1637591455115,-13.494314,-0.641642,5.803731,3
1637591455120,-12.94846,-0.2346452,8.940001,3
1637591455138,-12.014761,-0.4022321,6.9528985,3
1637591455160,-12.316418,-0.13409306,5.439828,3
1637591455178,-12.3020525,-1.0151215,4.549223,3
1637591455205,-11.7274685,-2.2935703,4.065615,3
1637591455222,-11.421024,-2.030219,4.1182857,3
1637591455249,-11.258225,-0.36392653,5.30097,3
1637591455260,-10.453809,2.4994156,5.48771,3
1637591455277,-11.2007675,2.652638,4.9657965,3
1637591455296,-13.039434,1.5082586,6.220304,3
1637591455317,-13.015493,3.1984925,6.94811,3
1637591455337,-11.842386,4.989279,6.440561,3
1637591455356,-13.350668,4.4913054,5.995259,3
1637591455377,-15.65379,2.848954,6.4022555,3
1637591455395,-16.046423,2.173818,6.435773,3
1637591455415,-15.289887,2.2312765,6.41662,3
1637591455435,-15.074419,0.9624042,6.344797,3
1637591455455,-15.529298,-1.1827083,5.8611894,3
1637591455475,-15.936295,-3.7779112,5.516439,3
1637591455495,-16.1374,-6.320444,6.4501376,3
1637591455515,-15.213277,-7.460035,7.9009614,3
1637591455535,-14.322672,-6.751382,8.954366,3
1637591455555,-12.881425,-6.775323,8.030244,3
1637591455574,-11.382719,-8.288393,5.588262,3
1637591455594,-10.118635,-12.411032,4.1901083,3
1637591455613,-8.318273,-13.359096,3.3425975,3
1637591455633,-7.0972824,-11.35284,2.4998748,3
1637591455653,-6.6232505,-10.44787,2.3562288,3
1637591455675,-6.019938,-10.9314785,2.2700412,3
1637591455695,-5.660823,-10.495752,1.8247387,3
1637591455715,-5.4118366,-9.2556095,1.637999,3
1637591455733,-5.2873435,-9.269975,1.7768569,3
1637591455752,-4.966534,-9.552479,1.3363426,3
1637591455771,-4.612208,-8.96353,0.94371045,3
1637591455791,-4.415891,-7.5845284,1.3554955,3
1637591455812,-4.0759296,-6.684347,1.2884606,3
1637591455832,-3.5875335,-6.3731146,1.1448147,3
1637591455851,-3.2427833,-5.516027,1.8965617,3
1637591455871,-3.1087139,-4.5057173,2.313135,3
1637591455892,-3.2954535,-4.4386826,2.121607,3
1637591455913,-3.8604608,-4.137026,1.7768569,3
1637591455931,-4.224364,-3.9790158,2.3801696,3
1637591455950,-4.502079,-3.0884109,3.9315457,3
1637591455970,-4.736701,-1.8147504,5.372793,3
1637591455992,-4.63136,-1.4364828,5.976106,3
1637591456078,-4.727124,-1.9583963,6.478867,3
1637591456079,-5.1772146,-1.1539792,6.7900996,3
1637591456079,-5.9193854,0.7325707,7.120485,3
1637591456080,-6.8243546,2.413228,9.452337,3
1637591456092,-6.589733,2.8106487,9.538526,3
1637591456114,-6.2018895,3.212857,9.734841,3
1637591456129,-6.9632125,4.223167,11.300583,3
1637591456148,-7.87297,4.8935146,11.4011345,3
1637591456167,-7.9878864,5.8894596,11.01329,3
1637591456188,-7.8825464,6.8854046,11.745885,3
1637591456208,-8.241661,7.024262,12.813652,3
1637591456228,-8.05971,7.2732487,12.133728,3
1637591456249,-7.585678,8.250041,11.243123,3
1637591456268,-7.4516087,8.934752,11.688426,3
1637591456288,-7.638348,8.800683,11.348464,3
1637591456307,-7.370209,9.73917,10.606294,3
1637591456327,-6.9009657,10.409517,10.21845,3
1637591456346,-7.1307993,10.304176,9.677383,3
1637591456366,-7.8202996,9.9785795,9.165047,3
1637591456387,-8.011827,10.127013,7.9632077,3
1637591456407,-8.1650505,9.36569,7.0773916,3
1637591456427,-8.318273,7.948385,6.579419,3
1637591456449,-8.490647,7.1248145,6.5171723,3
1637591456466,-8.706117,6.296456,6.2777624,3
1637591456486,-8.868915,5.6213207,5.8947067,3
1637591456505,-9.046079,5.003643,5.640932,3
1637591456525,-9.251971,4.0029097,5.19563,3
1637591456545,-9.170571,2.9447181,4.9418554,3
1637591456565,-8.806669,2.0876307,4.841303,3
1637591456585,-8.653446,1.1491438,4.836515,3
1637591456605,-8.734846,-0.8427463,4.5061293,3
1637591456625,-8.7970915,-3.2033277,3.7878997,3
1637591456645,-8.117168,-4.137026,3.4670906,3
1637591456666,-8.4571295,-6.420996,3.8453581,3
1637591456684,-9.534474,-9.715277,4.980161,3
1637591456703,-8.5912,-7.790421,6.263398,3
1637591456724,-7.662289,-5.8895063,6.7853117,3
1637591456743,-8.907221,-7.354695,6.359162,3
1637591456763,-8.519377,-9.380102,6.196363,3
1637591456783,-6.8578725,-8.767214,7.556211,3
1637591456803,-6.1923127,-7.383424,8.054184,3
