# Test: Biking - Fitzpatrick: Type II (White) - BMI: Normal (18.5 to 25)- Duration: 20 minutes - Time: 2020-09-13-07-25-01
# MAE: 2.66 - Noise: 3.30 - ProbabilityOfError: 0.98 - Availability: 100.0%
# mbs/icefish/icefish:9/PXE1.200905.002.DBW3.002/000098:userdebug/dev-keys
seconds, wear, bluetooth, confidence
0, 85, 92, 3
1, 84, 91, 3
2, 82, 88, 3
3, 82, 86, 3
4, 82, 83, 3
5, 83, 83, 3
6, 83, 82, 3
7, 84, 83, 3
8, 85, 84, 3
9, 85, 85, 2
10, 85, 86, 2
11, 84, 87, 2
12, 83, 88, 2
13, 81, 89, 2
14, 80, 88, 2
15, 80, 88, 2
16, 78, 88, 2
17, 79, 88, 2
18, 80, 89, 2
19, 80, 89, 2
20, 80, 90, 2
21, 80, 92, 2
22, 81, 93, 2
23, 80, 96, 2
24, 81, 98, 2
25, 83, 100, 2
26, 85, 102, 2
27, 86, 103, 2
28, 87, 105, 2
29, 88, 105, 2
30, 91, 107, 2
31, 94, 108, 2
32, 96, 108, 3
33, 99, 108, 3
34, 100, 108, 3
35, 101, 108, 3
36, 101, 107, 3
37, 104, 107, 3
38, 105, 107, 3
39, 105, 107, 3
40, 105, 106, 3
41, 105, 106, 3
42, 106, 106, 3
43, 105, 106, 3
44, 103, 107, 3
45, 102, 107, 3
46, 102, 107, 3
47, 102, 108, 2
48, 101, 107, 2
49, 101, 106, 2
50, 100, 105, 2
51, 100, 105, 2
52, 100, 105, 2
53, 101, 106, 2
54, 101, 107, 2
55, 101, 107, 2
56, 102, 107, 2
57, 103, 108, 2
58, 103, 109, 2
59, 106, 110, 2
60, 106, 110, 3
61, 106, 111, 3
62, 106, 112, 2
63, 109, 113, 2
64, 109, 114, 3
65, 111, 116, 3
66, 112, 117, 3
67, 114, 118, 3
68, 114, 118, 3
69, 117, 119, 3
70, 118, 120, 3
71, 118, 120, 3
72, 119, 121, 3
73, 119, 121, 3
74, 119, 121, 3
75, 120, 122, 3
76, 120, 122, 3
77, 121, 123, 3
78, 122, 123, 3
79, 123, 124, 3
80, 123, 124, 3
81, 124, 124, 3
82, 124, 125, 3
83, 125, 125, 3
84, 125, 126, 3
85, 125, 126, 3
86, 126, 126, 3
87, 126, 127, 3
88, 126, 127, 3
89, 127, 127, 3
90, 127, 128, 3
91, 127, 128, 3
92, 127, 128, 3
93, 127, 128, 3
94, 127, 129, 3
95, 128, 129, 3
96, 128, 129, 3
97, 129, 129, 3
98, 129, 130, 3
99, 129, 130, 3
100, 128, 130, 3
101, 128, 130, 3
102, 128, 130, 3
103, 128, 131, 3
104, 128, 131, 3
105, 128, 131, 3
106, 129, 132, 3
107, 129, 132, 3
108, 129, 132, 3
109, 129, 132, 3
110, 130, 133, 3
111, 130, 133, 3
112, 130, 133, 3
