# Test: Daily_Activity - Fitzpatrick: Type II (White) - BMI: Normal (18.5 to 25)- Duration: 5 minutes - Time: 2020-09-12-07-34-48
# MAE: 1.80 - Noise: 2.31 - ProbabilityOfError: 1.00 - Availability: 100.0%
# mbs/icefish/icefish:9/PXE1.200905.002.DBW3.002/000098:userdebug/dev-keys
seconds, wear, bluetooth, confidence
0, 70, 67, 2
1, 69, 67, 2
2, 69, 67, 2
3, 69, 67, 2
4, 69, 67, 2
5, 70, 67, 2
6, 70, 67, 2
7, 70, 66, 2
8, 69, 66, 2
9, 69, 66, 2
10, 68, 66, 2
11, 68, 66, 2
12, 68, 66, 2
13, 68, 66, 2
14, 67, 66, 2
15, 66, 67, 2
16, 66, 67, 2
17, 66, 67, 2
18, 66, 67, 2
19, 66, 67, 2
20, 68, 67, 2
21, 67, 67, 3
22, 67, 67, 2
23, 68, 67, 2
24, 69, 67, 3
25, 69, 67, 3
26, 70, 67, 3
27, 70, 67, 3
28, 70, 67, 3
29, 70, 68, 2
30, 71, 68, 2
31, 71, 68, 2
32, 71, 68, 2
33, 70, 68, 2
34, 69, 68, 2
35, 70, 68, 2
36, 70, 68, 2
37, 70, 68, 2
38, 70, 68, 2
39, 70, 68, 2
40, 69, 68, 2
41, 69, 68, 3
42, 69, 68, 3
43, 68, 69, 3
44, 68, 69, 3
45, 69, 69, 2
46, 69, 68, 2
47, 71, 68, 3
48, 72, 68, 3
49, 71, 67, 3
50, 72, 67, 3
51, 71, 67, 3
52, 71, 67, 3
53, 71, 67, 3
54, 70, 67, 3
55, 70, 68, 3
56, 69, 69, 3
57, 68, 69, 3
58, 68, 68, 3
59, 69, 68, 3
60, 70, 68, 3
61, 70, 67, 3
62, 71, 67, 3
63, 70, 67, 3
64, 70, 67, 3
65, 70, 68, 3
66, 70, 68, 3
67, 70, 68, 3
68, 70, 69, 3
69, 69, 69, 3
70, 69, 69, 3
71, 70, 69, 3
72, 70, 69, 3
73, 69, 69, 3
74, 68, 69, 3
75, 68, 69, 3
76, 68, 69, 3
77, 68, 69, 3
78, 68, 68, 3
79, 68, 69, 3
80, 67, 69, 3
81, 67, 69, 3
82, 67, 69, 3
83, 67, 70, 3
84, 68, 71, 3
85, 69, 70, 3
86, 68, 70, 2
87, 68, 69, 2
88, 68, 69, 2
89, 67, 68, 2
90, 66, 68, 2
91, 67, 68, 2
92, 66, 69, 2
93, 66, 69, 2
94, 67, 69, 3
95, 66, 69, 3
96, 66, 69, 3
97, 65, 68, 3
98, 65, 68, 3
99, 66, 67, 3
100, 65, 67, 3
101, 65, 67, 3
102, 65, 67, 3
103, 65, 67, 3
104, 65, 67, 3
105, 66, 68, 3
106, 66, 68, 3
107, 67, 69, 3
108, 67, 69, 3
109, 68, 68, 3
110, 67, 68, 3
111, 67, 68, 3
112, 67, 68, 2
113, 67, 68, 2
114, 67, 68, 2
115, 67, 68, 2
116, 66, 68, 2
117, 65, 68, 2
118, 65, 68, 2
119, 66, 68, 2
120, 65, 68, 2
121, 66, 68, 2
122, 67, 67, 3
123, 67, 67, 3
124, 67, 67, 3
125, 67, 67, 3
126, 67, 67, 3
127, 67, 67, 3
128, 67, 67, 3
129, 67, 67, 3
130, 67, 68, 3
131, 68, 68, 3
132, 70, 68, 3
133, 70, 68, 3
134, 71, 70, 3
135, 71, 71, 3
136, 70, 72, 3
137, 72, 73, 3
138, 73, 73, 3
139, 73, 74, 3
140, 73, 74, 3
141, 73, 75, 3
142, 75, 75, 3
143, 75, 75, 3
144, 75, 76, 3
145, 75, 76, 3
146, 74, 75, 3
147, 75, 75, 2
148, 75, 73, 2
149, 75, 72, 2
150, 75, 71, 2
151, 74, 70, 2
152, 73, 69, 2
153, 71, 69, 2
154, 71, 68, 2
155, 70, 69, 2
156, 71, 69, 2
157, 70, 69, 2
158, 68, 69, 2
159, 69, 69, 3
160, 69, 69, 3
161, 70, 68, 3
162, 69, 68, 3
163, 68, 68, 3
164, 69, 68, 3
165, 68, 67, 3
166, 68, 67, 2
167, 67, 67, 2
168, 66, 67, 2
169, 66, 67, 3
170, 66, 68, 3
171, 65, 67, 3
172, 66, 67, 3
173, 66, 68, 2
174, 66, 68, 2
175, 66, 67, 2
176, 67, 67, 2
177, 67, 68, 2
178, 68, 68, 2
179, 68, 68, 2
180, 68, 68, 2
181, 67, 69, 2
182, 69, 69, 2
183, 70, 70, 3
184, 70, 70, 3
185, 70, 70, 3
186, 70, 71, 3
187, 69, 71, 3
188, 69, 70, 2
189, 70, 70, 2
190, 71, 70, 2
191, 71, 69, 2
192, 70, 68, 2
193, 68, 67, 2
194, 69, 67, 2
195, 68, 66, 2
196, 66, 66, 2
197, 64, 67, 2
198, 65, 67, 2
199, 67, 66, 2
200, 67, 66, 2
201, 65, 66, 2
202, 67, 66, 2
203, 67, 66, 2
204, 67, 66, 2
205, 67, 66, 2
206, 69, 67, 3
207, 69, 67, 3
208, 69, 68, 3
209, 69, 68, 3
210, 70, 69, 3
211, 71, 70, 3
212, 71, 70, 3
213, 72, 70, 3
214, 73, 71, 3
215, 73, 72, 3
216, 73, 72, 3
217, 74, 72, 3
218, 74, 72, 3
219, 73, 72, 3
220, 74, 72, 3
221, 73, 71, 3
222, 73, 70, 3
223, 73, 69, 3
224, 74, 69, 3
225, 75, 68, 3
226, 74, 68, 3
227, 74, 68, 3
228, 75, 69, 3
229, 75, 70, 3
230, 75, 71, 3
231, 75, 72, 3
232, 74, 72, 3
233, 73, 72, 3
234, 73, 72, 3
235, 72, 72, 3
236, 71, 72, 3
237, 71, 72, 3
238, 70, 72, 3
239, 70, 72, 3
240, 70, 72, 3
241, 70, 72, 3
242, 70, 72, 3
243, 71, 72, 3
244, 71, 71, 3
245, 71, 70, 3
246, 72, 69, 3
247, 71, 69, 3
248, 71, 68, 2
249, 70, 67, 2
250, 70, 67, 2
251, 67, 67, 2
252, 68, 66, 2
253, 67, 67, 2
254, 67, 67, 2
255, 66, 66, 2
256, 66, 66, 2
257, 65, 66, 2
258, 65, 65, 2
259, 65, 65, 2
260, 64, 65, 2
261, 64, 64, 2
262, 64, 64, 2
263, 64, 64, 2
264, 66, 65, 2
265, 66, 65, 2
266, 67, 65, 2
267, 67, 65, 2
268, 67, 65, 2
269, 66, 64, 2
270, 65, 64, 2
271, 63, 64, 3
272, 64, 64, 3
273, 65, 64, 3
274, 65, 65, 3
275, 66, 66, 3
276, 66, 67, 3
277, 66, 68, 3
278, 67, 68, 3
279, 66, 69, 3
280, 66, 69, 3
281, 65, 69, 3
282, 65, 68, 3
283, 65, 68, 3
284, 65, 68, 3
285, 64, 68, 3
286, 63, 68, 3
287, 63, 68, 3
288, 62, 68, 3
289, 61, 68, 2
290, 61, 67, 2
291, 62, 67, 2
292, 61, 67, 3
293, 61, 66, 3
294, 61, 66, 3
295, 62, 66, 3
296, 62, 66, 3
297, 61, 66, 2
298, 62, 66, 2
299, 62, 66, 2
300, 62, 66, 2
