# Test: Fast_Running - Fitzpatrick: Type II (White) - BMI: Normal (18.5 to 25)- Duration: 20 minutes - Time: 2020-09-11-09-06-05
# MAE: 1.17 - Noise: 2.10 - ProbabilityOfError: 0.99 - Availability: 100.0%
# mbs/icefish/icefish:9/PXE1.200905.002.DBW3.002/000098:userdebug/dev-keys
seconds, wear, bluetooth, confidence
0, 75, 73, 2
1, 74, 73, 2
2, 73, 72, 2
3, 72, 72, 2
4, 72, 72, 2
5, 74, 72, 2
6, 74, 74, 3
7, 74, 78, 3
8, 74, 81, 3
9, 75, 87, 2
10, 76, 88, 2
11, 77, 91, 2
12, 78, 95, 2
13, 80, 98, 2
14, 81, 99, 2
15, 82, 102, 2
16, 85, 104, 2
17, 88, 107, 2
18, 90, 109, 2
19, 93, 110, 2
20, 96, 112, 2
21, 98, 112, 2
22, 102, 112, 3
23, 107, 113, 3
24, 109, 113, 3
25, 109, 113, 3
26, 108, 112, 3
27, 108, 112, 3
28, 109, 111, 3
29, 109, 111, 3
30, 110, 111, 3
31, 110, 111, 3
32, 111, 111, 3
33, 110, 111, 3
34, 110, 111, 3
35, 111, 112, 3
36, 112, 112, 3
37, 113, 113, 3
38, 115, 115, 3
39, 115, 115, 3
40, 116, 116, 3
41, 117, 116, 3
42, 118, 117, 3
43, 119, 117, 3
44, 119, 118, 3
45, 119, 119, 3
46, 119, 119, 3
47, 119, 120, 3
48, 120, 120, 3
49, 121, 121, 3
50, 121, 121, 3
51, 121, 121, 3
52, 122, 122, 3
53, 122, 122, 3
54, 122, 122, 3
55, 123, 123, 3
56, 123, 124, 3
57, 124, 124, 3
58, 125, 125, 3
59, 125, 125, 3
60, 125, 126, 3
61, 125, 126, 3
62, 126, 126, 3
63, 126, 126, 3
64, 126, 127, 3
65, 127, 128, 3
66, 127, 128, 3
67, 127, 128, 3
68, 127, 128, 3
69, 128, 129, 3
70, 128, 129, 3
71, 129, 129, 3
72, 129, 130, 3
73, 130, 130, 3
74, 130, 130, 3
75, 130, 130, 3
76, 130, 130, 3
77, 130, 130, 3
78, 130, 130, 3
79, 130, 130, 3
80, 130, 130, 3
81, 130, 131, 3
82, 130, 130, 3
83, 129, 130, 3
84, 129, 130, 3
85, 129, 130, 3
86, 129, 130, 3
87, 129, 130, 3
88, 129, 130, 3
89, 129, 130, 3
90, 128, 130, 3
91, 128, 129, 3
92, 129, 129, 3
93, 128, 129, 3
94, 129, 129, 3
95, 129, 129, 3
96, 129, 129, 3
97, 129, 129, 3
98, 129, 129, 3
99, 129, 130, 3
100, 130, 130, 3
101, 130, 131, 3
102, 130, 131, 3
103, 130, 131, 3
104, 130, 131, 3
105, 130, 131, 3
106, 130, 130, 3
107, 130, 131, 3
108, 130, 131, 3
109, 130, 131, 3
110, 130, 131, 3
111, 130, 131, 3
112, 130, 131, 3
113, 130, 131, 3
114, 130, 131, 3
115, 130, 131, 3
116, 130, 132, 3
117, 130, 132, 3
118, 130, 132, 3
119, 131, 132, 3
120, 130, 131, 3
121, 131, 131, 3
122, 131, 131, 3
123, 131, 131, 3
124, 131, 131, 3
125, 131, 131, 3
126, 131, 132, 3
127, 131, 131, 3
128, 131, 131, 3
129, 131, 131, 3
130, 131, 131, 3
131, 130, 131, 3
132, 131, 131, 3
133, 130, 131, 3
134, 131, 131, 3
135, 132, 131, 3
136, 132, 131, 3
137, 132, 132, 3
138, 132, 132, 3
139, 132, 132, 3
140, 132, 133, 3
141, 133, 133, 3
142, 133, 134, 3
143, 133, 133, 3
144, 133, 133, 3
145, 132, 133, 3
146, 133, 133, 3
147, 133, 133, 3
148, 132, 133, 3
149, 132, 133, 3
150, 132, 133, 3
151, 133, 133, 3
152, 132, 133, 3
153, 132, 133, 3
154, 132, 133, 3
155, 132, 132, 3
156, 132, 132, 3
157, 132, 132, 3
158, 132, 132, 3
159, 132, 132, 3
160, 132, 132, 3
161, 132, 132, 3
162, 132, 132, 3
163, 132, 132, 3
164, 132, 132, 3
165, 131, 132, 3
166, 131, 131, 3
167, 130, 130, 3
168, 130, 130, 3
169, 129, 130, 3
170, 130, 130, 3
171, 130, 131, 3
172, 130, 131, 3
173, 131, 132, 3
174, 131, 132, 3
175, 132, 132, 3
176, 132, 132, 3
177, 132, 132, 3
178, 131, 132, 3
179, 131, 132, 3
180, 131, 131, 3
181, 129, 131, 3
182, 129, 131, 3
183, 130, 131, 3
184, 131, 132, 3
185, 131, 132, 3
186, 131, 131, 3
187, 131, 131, 3
188, 130, 130, 3
189, 131, 129, 3
190, 130, 129, 3
191, 130, 129, 3
192, 130, 129, 3
193, 130, 130, 3
194, 130, 130, 3
195, 131, 131, 3
196, 131, 131, 3
197, 132, 132, 3
198, 132, 132, 3
199, 132, 133, 3
200, 132, 133, 3
201, 133, 133, 3
202, 132, 133, 3
203, 132, 133, 3
204, 132, 134, 3
205, 134, 134, 3
206, 134, 135, 3
207, 135, 136, 3
208, 136, 136, 3
209, 136, 137, 3
210, 138, 137, 3
211, 138, 138, 3
212, 138, 138, 3
213, 138, 139, 3
214, 138, 139, 3
215, 139, 140, 3
216, 139, 140, 3
217, 140, 140, 3
218, 140, 141, 3
219, 141, 141, 3
220, 140, 141, 3
221, 142, 141, 3
222, 142, 141, 3
223, 142, 141, 3
224, 142, 141, 3
225, 141, 142, 3
226, 140, 141, 3
227, 141, 141, 3
228, 140, 142, 3
229, 141, 142, 3
230, 141, 142, 3
231, 141, 141, 3
232, 141, 142, 3
233, 142, 142, 3
234, 143, 142, 3
235, 142, 142, 3
236, 143, 142, 3
237, 142, 142, 3
238, 142, 143, 3
239, 142, 142, 3
240, 143, 142, 3
241, 143, 144, 3
242, 143, 144, 3
243, 144, 144, 3
244, 144, 144, 3
245, 144, 144, 3
246, 144, 144, 3
247, 144, 145, 3
248, 145, 145, 3
249, 144, 145, 2
250, 146, 145, 2
251, 146, 145, 2
252, 146, 146, 3
253, 145, 146, 3
254, 146, 147, 3
255, 146, 148, 3
256, 147, 148, 3
257, 148, 148, 3
258, 148, 149, 3
259, 148, 148, 3
260, 149, 148, 3
261, 149, 148, 3
262, 149, 149, 3
