# Test: Outdoor_Walking - Fitzpatrick: Type II (White) - BMI: Normal (18.5 to 25)- Duration: 15 minutes - Time: 2020-09-12-08-16-18
# MAE: 3.50 - Noise: 5.13 - ProbabilityOfError: 0.88 - Availability: 100.0%
# mbs/icefish/icefish:9/PXE1.200905.002.DBW3.002/000098:userdebug/dev-keys
seconds, wear, bluetooth, confidence
0, 93, 74, 2
1, 94, 74, 3
2, 94, 74, 3
3, 93, 74, 3
4, 92, 74, 3
5, 91, 74, 2
6, 91, 75, 2
7, 91, 75, 2
8, 90, 75, 2
9, 90, 75, 2
10, 90, 75, 2
11, 91, 75, 2
12, 94, 75, 2
13, 94, 75, 2
14, 94, 75, 2
15, 94, 75, 2
16, 94, 75, 2
17, 94, 74, 2
18, 94, 74, 2
19, 94, 73, 2
20, 93, 73, 2
21, 94, 73, 2
22, 94, 73, 2
23, 93, 73, 2
24, 93, 73, 1
25, 93, 74, 1
26, 93, 74, 1
27, 93, 74, 1
28, 93, 74, 1
29, 92, 75, 1
30, 91, 75, 1
31, 89, 75, 1
32, 89, 75, 1
33, 88, 76, 1
34, 86, 76, 2
35, 85, 76, 2
36, 85, 76, 2
37, 86, 76, 2
38, 85, 76, 2
39, 83, 76, 2
40, 82, 76, 2
41, 80, 76, 2
42, 78, 76, 2
43, 78, 76, 2
44, 77, 76, 2
45, 78, 77, 2
46, 77, 77, 2
47, 77, 77, 2
48, 76, 77, 3
49, 76, 77, 3
50, 76, 77, 3
51, 76, 77, 3
52, 77, 77, 3
53, 77, 77, 3
54, 78, 78, 3
55, 79, 79, 3
56, 80, 79, 3
57, 80, 80, 3
58, 80, 80, 3
59, 81, 80, 3
60, 81, 80, 3
61, 82, 80, 3
62, 81, 80, 3
63, 82, 80, 3
64, 85, 81, 3
65, 85, 81, 3
66, 87, 82, 3
67, 87, 83, 3
68, 88, 83, 2
69, 91, 84, 2
70, 92, 84, 3
71, 92, 85, 2
72, 91, 85, 2
73, 89, 84, 2
74, 88, 84, 2
75, 86, 84, 2
76, 85, 84, 2
77, 85, 84, 2
78, 84, 84, 3
79, 83, 84, 3
80, 82, 84, 3
81, 80, 83, 3
82, 80, 83, 3
83, 79, 82, 3
84, 79, 81, 3
85, 79, 81, 3
86, 79, 81, 2
87, 79, 81, 2
88, 79, 81, 2
89, 79, 82, 2
90, 80, 82, 2
91, 82, 83, 2
92, 82, 83, 2
93, 82, 83, 2
94, 81, 83, 2
95, 81, 83, 2
96, 81, 82, 2
97, 81, 82, 2
98, 81, 82, 2
99, 81, 82, 2
100, 81, 82, 2
101, 82, 83, 2
102, 82, 83, 2
103, 82, 83, 3
104, 81, 83, 3
105, 80, 82, 3
106, 80, 82, 3
107, 79, 81, 3
108, 78, 80, 3
109, 79, 80, 3
110, 80, 80, 3
111, 79, 80, 3
112, 78, 80, 3
113, 80, 81, 3
114, 79, 81, 3
115, 79, 81, 3
116, 79, 80, 3
117, 80, 80, 3
118, 81, 80, 3
119, 81, 81, 3
120, 81, 81, 3
121, 82, 82, 3
122, 82, 83, 3
123, 82, 84, 3
124, 83, 85, 3
125, 83, 85, 2
126, 82, 85, 2
127, 83, 85, 2
128, 83, 84, 2
129, 84, 83, 2
130, 85, 82, 2
131, 85, 82, 2
132, 85, 81, 2
133, 85, 81, 2
134, 85, 82, 2
135, 86, 82, 2
136, 87, 83, 2
137, 89, 84, 2
138, 87, 84, 2
139, 85, 84, 2
140, 84, 84, 2
141, 83, 84, 3
142, 82, 84, 3
143, 83, 84, 2
144, 83, 84, 2
145, 83, 84, 2
146, 84, 84, 2
147, 85, 85, 2
148, 85, 86, 2
149, 86, 86, 2
150, 84, 86, 2
151, 84, 86, 2
152, 82, 84, 2
153, 82, 83, 2
154, 81, 82, 2
155, 81, 81, 2
156, 80, 81, 2
157, 79, 81, 2
158, 78, 81, 2
159, 80, 81, 2
160, 81, 83, 2
161, 82, 83, 2
