# Test: Resting - Fitzpatrick: Type II (White) - BMI: Normal (18.5 to 25)- Duration: 5 minutes - Time: 2020-09-12-07-10-35
# MAE: 1.09 - Noise: 1.10 - ProbabilityOfError: 1.00 - Availability: 100.0%
# mbs/icefish/icefish:9/PXE1.200905.002.DBW3.002/000098:userdebug/dev-keys
seconds, wear, bluetooth, confidence
0, 62, 64, 2
1, 62, 63, 2
2, 62, 63, 3
3, 62, 62, 3
4, 62, 62, 2
5, 62, 62, 2
6, 62, 62, 2
7, 61, 62, 2
8, 60, 62, 2
9, 60, 61, 2
10, 59, 61, 3
11, 59, 61, 3
12, 59, 60, 3
13, 59, 60, 3
14, 59, 60, 3
15, 59, 60, 3
16, 59, 60, 3
17, 59, 60, 3
18, 59, 60, 3
19, 59, 60, 3
20, 59, 60, 3
21, 59, 60, 3
22, 59, 60, 3
23, 58, 60, 3
24, 58, 60, 3
25, 58, 59, 3
26, 58, 59, 3
27, 58, 59, 3
28, 59, 59, 3
29, 60, 59, 3
30, 61, 59, 3
31, 62, 60, 3
32, 62, 61, 3
33, 62, 62, 3
34, 62, 62, 3
35, 62, 62, 3
36, 62, 62, 3
37, 62, 62, 3
38, 61, 62, 3
39, 61, 62, 3
40, 61, 62, 3
41, 60, 62, 3
42, 60, 62, 3
43, 60, 61, 3
44, 60, 61, 3
45, 59, 61, 3
46, 59, 61, 3
47, 58, 61, 3
48, 58, 61, 3
49, 58, 60, 3
50, 58, 60, 3
51, 58, 60, 3
52, 58, 60, 3
53, 58, 59, 3
54, 58, 59, 3
55, 59, 59, 3
56, 59, 60, 3
57, 59, 59, 3
58, 59, 60, 3
59, 59, 60, 3
60, 60, 60, 3
61, 60, 60, 3
62, 60, 60, 3
63, 60, 60, 3
64, 61, 60, 3
65, 61, 61, 3
66, 61, 61, 3
67, 61, 61, 3
68, 61, 61, 3
69, 61, 61, 3
70, 61, 61, 3
71, 60, 61, 3
72, 60, 61, 3
73, 59, 61, 3
74, 59, 60, 3
75, 60, 60, 3
76, 61, 60, 3
77, 61, 61, 3
78, 62, 61, 3
79, 62, 61, 3
80, 61, 61, 3
81, 61, 62, 3
82, 61, 62, 3
83, 61, 61, 3
84, 61, 61, 3
85, 61, 61, 3
86, 61, 61, 3
87, 61, 61, 3
88, 61, 61, 3
89, 61, 61, 3
90, 61, 62, 3
91, 61, 61, 3
92, 61, 61, 3
93, 61, 61, 3
94, 61, 62, 3
95, 61, 62, 3
96, 62, 61, 3
97, 62, 62, 3
98, 63, 62, 3
99, 64, 62, 3
100, 64, 63, 3
101, 65, 63, 3
102, 65, 64, 3
103, 64, 64, 3
104, 64, 64, 3
105, 64, 64, 3
106, 63, 64, 3
107, 63, 64, 3
108, 62, 64, 3
109, 62, 64, 3
110, 61, 63, 3
111, 59, 63, 3
112, 59, 63, 3
113, 59, 63, 3
114, 60, 62, 3
115, 59, 62, 3
116, 59, 62, 3
117, 60, 62, 3
118, 60, 62, 3
119, 60, 62, 3
120, 60, 62, 3
121, 60, 62, 3
122, 61, 62, 3
123, 61, 62, 3
124, 61, 62, 3
125, 61, 62, 3
126, 61, 62, 3
127, 61, 62, 3
128, 61, 62, 3
129, 61, 62, 3
130, 62, 63, 3
131, 62, 63, 3
132, 62, 63, 3
133, 62, 63, 3
134, 63, 64, 3
135, 63, 64, 3
136, 64, 64, 3
137, 64, 65, 3
138, 65, 65, 3
139, 64, 65, 3
140, 64, 65, 3
141, 63, 65, 3
142, 63, 65, 3
143, 64, 65, 3
144, 64, 65, 3
145, 63, 65, 3
146, 63, 65, 3
147, 64, 65, 3
148, 64, 65, 3
149, 64, 65, 3
150, 64, 65, 3
151, 63, 65, 3
152, 64, 65, 3
153, 65, 64, 3
154, 64, 63, 3
155, 64, 63, 3
156, 64, 63, 3
157, 63, 63, 3
158, 63, 63, 3
159, 63, 63, 3
160, 63, 63, 3
161, 63, 63, 3
162, 62, 63, 3
163, 61, 62, 3
164, 60, 62, 3
165, 60, 61, 3
166, 60, 61, 3
167, 60, 61, 3
168, 60, 61, 3
169, 60, 61, 3
170, 61, 61, 3
171, 61, 62, 3
172, 61, 62, 3
173, 61, 62, 3
174, 61, 62, 3
175, 60, 62, 3
176, 60, 62, 3
177, 60, 61, 3
178, 60, 62, 3
179, 60, 62, 3
180, 61, 62, 3
181, 61, 61, 3
182, 61, 62, 3
183, 61, 62, 3
184, 61, 62, 3
185, 61, 62, 3
186, 61, 62, 3
187, 61, 62, 3
188, 61, 62, 3
189, 61, 62, 3
190, 61, 62, 3
191, 61, 62, 3
192, 61, 62, 3
193, 61, 62, 3
194, 61, 62, 3
195, 61, 62, 3
196, 61, 62, 3
197, 61, 62, 3
198, 62, 62, 3
199, 61, 62, 3
200, 61, 62, 3
201, 61, 62, 3
202, 61, 62, 3
203, 62, 62, 3
204, 62, 62, 3
205, 63, 62, 3
206, 64, 63, 3
207, 64, 63, 3
208, 65, 64, 3
209, 65, 64, 3
210, 65, 65, 3
211, 65, 65, 3
212, 66, 65, 3
213, 67, 66, 3
214, 67, 66, 3
215, 68, 67, 3
216, 69, 68, 3
217, 69, 68, 3
218, 68, 69, 3
219, 67, 69, 3
220, 66, 69, 3
221, 65, 68, 3
222, 64, 68, 3
223, 63, 67, 3
224, 62, 66, 3
225, 63, 64, 3
226, 63, 64, 3
227, 63, 64, 3
228, 63, 64, 3
229, 64, 64, 3
230, 64, 65, 3
231, 64, 65, 3
232, 65, 65, 3
233, 64, 65, 3
234, 64, 66, 3
235, 63, 66, 3
236, 63, 65, 3
237, 63, 65, 3
238, 63, 65, 3
239, 62, 65, 3
240, 62, 64, 3
241, 62, 64, 3
242, 62, 64, 3
243, 62, 64, 3
244, 62, 63, 3
245, 62, 63, 3
246, 62, 63, 3
247, 62, 63, 3
248, 62, 63, 3
249, 61, 63, 3
250, 62, 63, 3
251, 61, 63, 3
252, 61, 63, 3
253, 61, 62, 3
254, 61, 62, 3
255, 61, 62, 3
256, 62, 62, 3
257, 61, 62, 3
258, 61, 62, 3
259, 61, 62, 3
260, 61, 62, 3
261, 60, 62, 3
262, 60, 62, 3
263, 60, 62, 3
264, 60, 62, 3
265, 61, 62, 3
266, 60, 62, 3
267, 60, 62, 3
268, 60, 62, 3
269, 61, 61, 3
270, 61, 62, 3
271, 61, 62, 3
272, 61, 62, 3
273, 61, 62, 3
274, 61, 62, 3
275, 61, 62, 3
276, 61, 62, 3
277, 60, 62, 3
278, 60, 62, 3
279, 60, 62, 3
280, 60, 61, 3
281, 60, 61, 3
282, 61, 61, 3
283, 61, 61, 3
284, 62, 61, 3
285, 63, 61, 3
286, 64, 64, 3
287, 65, 64, 3
288, 66, 65, 3
289, 66, 66, 3
290, 66, 66, 3
291, 66, 66, 3
292, 66, 66, 3
293, 66, 67, 3
294, 66, 67, 3
295, 66, 67, 3
296, 67, 67, 3
297, 68, 68, 3
298, 68, 68, 3
299, 69, 68, 3
300, 69, 69, 3
