# Test: Stationary_Bike_Interval - Fitzpatrick: Type II (White) - BMI: Normal (18.5 to 25)- Duration: 20 minutes - Time: 2020-09-11-17-12-10
# MAE: 1.71 - Noise: 2.67 - ProbabilityOfError: 0.99 - Availability: 100.0%
# mbs/icefish/icefish:9/PXE1.200905.002.DBW3.002/000098:userdebug/dev-keys
seconds, wear, bluetooth, confidence
0, 83, 76, 2
1, 82, 75, 2
2, 83, 75, 2
3, 82, 75, 2
4, 81, 76, 2
5, 80, 76, 2
6, 81, 75, 2
7, 81, 76, 2
8, 82, 77, 3
9, 83, 77, 3
10, 83, 78, 3
11, 83, 78, 3
12, 83, 79, 3
13, 84, 80, 3
14, 84, 80, 3
15, 86, 81, 3
16, 86, 81, 3
17, 85, 82, 3
18, 88, 83, 3
19, 88, 83, 3
20, 88, 85, 3
21, 86, 85, 3
22, 85, 85, 3
23, 84, 86, 3
24, 85, 85, 3
25, 84, 85, 3
26, 84, 85, 3
27, 85, 86, 3
28, 85, 86, 3
29, 85, 88, 3
30, 85, 90, 3
31, 85, 91, 2
32, 85, 92, 2
33, 85, 93, 2
34, 85, 93, 2
35, 86, 94, 2
36, 87, 94, 2
37, 87, 94, 2
38, 88, 94, 3
39, 89, 93, 3
40, 90, 93, 3
41, 90, 93, 3
42, 91, 93, 3
43, 93, 93, 3
44, 93, 95, 3
45, 93, 95, 3
46, 94, 96, 3
47, 94, 97, 3
48, 94, 97, 3
49, 94, 96, 3
50, 93, 96, 3
51, 93, 96, 3
52, 93, 95, 3
53, 92, 95, 3
54, 93, 96, 3
55, 95, 96, 3
56, 96, 97, 3
57, 96, 97, 3
58, 96, 98, 3
59, 97, 98, 3
60, 95, 98, 3
61, 96, 99, 3
62, 96, 98, 3
63, 97, 98, 3
64, 97, 99, 3
65, 98, 99, 3
66, 99, 100, 3
67, 99, 102, 3
68, 99, 103, 3
69, 98, 104, 3
70, 98, 102, 3
71, 98, 101, 3
72, 97, 98, 3
73, 99, 97, 3
74, 100, 97, 3
75, 102, 98, 3
76, 104, 100, 3
77, 105, 102, 3
78, 105, 103, 3
79, 107, 105, 3
80, 109, 107, 3
81, 110, 108, 3
82, 111, 109, 3
83, 111, 110, 3
84, 111, 110, 3
85, 111, 111, 3
86, 110, 110, 3
87, 109, 109, 3
88, 108, 108, 3
89, 108, 107, 3
90, 109, 107, 3
91, 109, 108, 3
92, 109, 108, 3
93, 110, 110, 3
94, 111, 111, 3
95, 112, 112, 3
96, 112, 113, 3
97, 112, 113, 3
98, 112, 112, 3
99, 111, 110, 3
100, 110, 109, 3
101, 109, 109, 3
102, 110, 109, 3
103, 111, 110, 3
104, 112, 111, 3
105, 113, 112, 3
106, 114, 113, 3
107, 115, 114, 3
108, 114, 115, 3
109, 115, 115, 3
110, 116, 114, 3
111, 116, 113, 3
112, 114, 113, 3
113, 115, 113, 3
114, 115, 113, 3
115, 115, 113, 3
116, 115, 114, 3
117, 116, 114, 3
118, 115, 115, 3
119, 115, 115, 3
120, 114, 114, 3
121, 113, 112, 3
122, 112, 110, 3
123, 112, 108, 3
124, 112, 105, 2
125, 110, 102, 2
126, 109, 102, 2
127, 108, 102, 2
128, 107, 103, 2
129, 107, 103, 2
130, 108, 103, 2
131, 107, 102, 2
132, 106, 102, 2
133, 104, 100, 2
134, 103, 99, 2
135, 104, 99, 2
136, 103, 99, 2
137, 103, 100, 2
138, 103, 101, 2
139, 104, 102, 2
