# Test: Treadmill_Interval - Fitzpatrick: Type II (White) - BMI: Normal (18.5 to 25)- Duration: 20 minutes - Time: 2020-09-13-08-59-53
# MAE: 2.33 - Noise: 3.59 - ProbabilityOfError: 0.95 - Availability: 100.0%
# mbs/icefish/icefish:9/PXE1.200905.002.DBW3.002/000098:userdebug/dev-keys
seconds, wear, bluetooth, confidence
0, 110, 116, 2
1, 111, 115, 3
2, 113, 115, 3
3, 114, 115, 3
4, 115, 115, 3
5, 115, 116, 3
6, 115, 117, 3
7, 116, 118, 3
8, 118, 119, 3
9, 118, 120, 3
10, 119, 122, 3
11, 121, 123, 3
12, 122, 124, 3
13, 122, 125, 3
14, 122, 126, 3
15, 122, 126, 3
16, 123, 127, 3
17, 123, 128, 3
18, 124, 128, 3
19, 125, 128, 3
20, 125, 128, 3
21, 127, 128, 3
22, 128, 128, 3
23, 128, 128, 3
24, 130, 128, 3
25, 129, 128, 2
26, 129, 128, 2
27, 128, 128, 2
28, 128, 128, 2
29, 129, 128, 3
30, 129, 128, 3
31, 129, 129, 3
32, 130, 129, 3
33, 130, 130, 3
34, 130, 131, 3
35, 131, 131, 3
36, 132, 131, 3
37, 132, 131, 3
38, 133, 131, 3
39, 132, 132, 3
40, 132, 132, 3
41, 132, 132, 3
42, 132, 132, 3
43, 131, 132, 3
44, 132, 132, 3
45, 132, 132, 3
46, 132, 132, 3
47, 132, 132, 3
48, 132, 132, 3
49, 132, 132, 3
50, 132, 132, 3
51, 132, 132, 3
52, 132, 132, 3
53, 132, 132, 3
54, 133, 132, 3
55, 133, 132, 3
56, 132, 133, 3
57, 132, 133, 3
58, 131, 133, 3
59, 132, 134, 3
60, 132, 134, 3
61, 132, 134, 3
62, 133, 134, 3
63, 133, 134, 3
64, 133, 135, 3
65, 134, 135, 3
66, 135, 135, 3
67, 135, 135, 3
68, 135, 135, 3
69, 135, 135, 3
70, 135, 135, 3
71, 135, 135, 3
72, 135, 135, 3
73, 134, 136, 3
74, 135, 136, 3
75, 135, 137, 3
76, 135, 137, 3
77, 136, 137, 3
78, 136, 137, 3
79, 137, 137, 3
80, 137, 137, 3
81, 136, 137, 3
82, 136, 138, 3
83, 136, 138, 3
84, 136, 138, 3
85, 137, 138, 3
86, 137, 138, 3
87, 138, 138, 3
88, 137, 138, 3
89, 137, 138, 3
90, 138, 138, 3
91, 139, 138, 3
92, 139, 138, 3
93, 138, 138, 3
94, 138, 138, 3
95, 138, 138, 3
96, 138, 138, 3
97, 137, 138, 3
98, 138, 138, 3
99, 138, 139, 3
100, 138, 139, 3
101, 138, 139, 3
102, 139, 139, 3
103, 139, 139, 3
104, 138, 139, 3
105, 139, 139, 3
106, 139, 139, 3
107, 138, 139, 3
108, 138, 139, 3
109, 138, 139, 3
110, 138, 139, 3
111, 138, 139, 3
112, 138, 138, 3
113, 137, 138, 3
114, 137, 137, 3
115, 137, 137, 3
116, 137, 137, 3
117, 137, 137, 3
118, 137, 137, 3
119, 136, 136, 3
120, 136, 136, 3
121, 136, 136, 3
122, 135, 136, 3
123, 135, 136, 3
124, 134, 136, 3
125, 134, 136, 3
126, 134, 136, 3
127, 135, 136, 3
128, 135, 136, 3
129, 135, 136, 3
130, 135, 136, 3
131, 135, 136, 3
132, 136, 136, 3
133, 136, 136, 3
134, 136, 136, 3
135, 136, 136, 3
136, 136, 136, 3
137, 137, 136, 3
138, 137, 136, 3
139, 136, 135, 3
140, 136, 135, 3
141, 135, 134, 3
142, 135, 134, 3
143, 135, 135, 3
